Base_Pct,Search_Cap_bps,Sentiment_Cap_bps,Friction_Min_Pct,Friction_Mean_Pct,Friction_Max_Pct,Trapped_US_B,Trapped_DK_B,Gap_B,Vs_Empirical_B,Share_Explained_Pct,CPR_R2,CPR_RMSE,CPR_R2_Smooth,CPR_RMSE_Smooth
9.0,400.0,300.0,10.599761024617864,12.170637104200793,14.24461976229451,414.2010907529272,-624.1230094559687,1038.324100208896,-258.71884079207285,61.55280462594358,-0.9643324977201178,3.9077525840559164,-2.1358312428311,2.933741751803693
9.0,400.0,225.0,10.599761024617864,12.170637104200793,14.24461976229451,414.2010907529272,-624.1230094559687,1038.324100208896,-258.71884079207285,61.55280462594358,-0.9643324977201178,3.9077525840559164,-2.1358312428311,2.933741751803693
9.0,400.0,150.0,10.599761024617864,12.133591649655338,14.24461976229451,412.48872544977684,-626.7418154436449,1039.2305408934217,-260.4312060952232,61.29833671336164,-0.9793609789352726,3.9226725855088342,-2.179432852734065,2.954067189036641
9.0,300.0,300.0,10.491070768463398,11.628602828150596,13.253464821720884,400.0575689963284,-643.1236098987355,1043.181178895064,-272.8623625486716,59.45099115697325,-1.0360952466523914,3.978493044607472,-2.313353550761719,3.0156395473350255
9.0,300.0,225.0,10.491070768463398,11.628602828150596,13.253464821720884,400.0575689963284,-643.1236098987355,1043.181178895064,-272.8623625486716,59.45099115697325,-1.0360952466523914,3.978493044607472,-2.313353550761719,3.0156395473350255
9.0,300.0,150.0,10.491070768463398,11.591557373605138,13.253464821720884,397.9666975888149,-645.907576595169,1043.8742741839837,-274.95323395618516,59.14027493213013,-1.0566630785425133,3.998537136956163,-2.3721477109915177,3.0422775676065403
9.0,400.0,75.0,10.184761024617863,11.817909831473521,13.750000000000002,397.21273423426317,-646.946392388824,1044.159126623087,-275.7071973107369,59.02823138590604,-1.0928559271062643,4.03356652714821,-2.4833921214949264,3.0920515291558335
9.0,200.0,300.0,10.231826380695836,11.086568552100395,12.262309881147255,381.90166017400895,-665.9803866312055,1047.8820468052145,-291.0182713709911,56.75291253406277,-1.147730510980836,4.086104332986625,-2.5879838374920126,3.1381289056989745
9.0,200.0,225.0,10.231826380695836,11.086568552100395,12.262309881147255,381.90166017400895,-665.9803866312055,1047.8820468052145,-291.0182713709911,56.75291253406277,-1.147730510980836,4.086104332986625,-2.5879838374920126,3.1381289056989745
9.0,300.0,75.0,10.0760707684634,11.275875555423319,12.75,380.1811947444049,-668.2937771203823,1048.4749718647872,-292.7387368005952,56.497240893358956,-1.2051097008553762,4.140327145917474,-2.7657198318297205,3.2149153553251515
9.0,200.0,150.0,10.231826380695836,11.049523097554939,12.262309881147255,379.62536742324613,-668.8333806829626,1048.4587481062088,-293.2945641217539,56.41464156837201,-1.1723408929666133,4.109448544746118,-2.658253385876359,3.1687095433059613
8.0,400.0,225.0,9.599761024617864,11.170637104200793,13.244619762294512,374.09564647783867,-680.2159181229098,1054.3115646007484,-298.8242850671614,55.59289135914409,-1.1756079340919987,4.112537538145659,-2.6814223890804465,3.1787279808503985
8.0,400.0,300.0,9.599761024617864,11.170637104200793,13.244619762294512,374.09564647783867,-680.2159181229098,1054.3115646007484,-298.8242850671614,55.59289135914409,-1.1756079340919987,4.112537538145659,-2.6814223890804465,3.1787279808503985
