Market_Rate,CPR_US,CPR_Danish
0.02,0.5156,0.5683
0.025,0.4561,0.5593
0.030000000000000002,0.3652,0.5514
0.035,0.2807,0.544
0.04000000000000001,0.2153,0.5359
0.045000000000000005,0.1635,0.5268
0.05,0.1258,0.52
0.05500000000000001,0.0964,0.5137
0.06000000000000001,0.0752,0.5083
0.065,0.0583,0.502
0.07,0.0433,0.497
0.07500000000000001,0.033,0.4927
0.08000000000000002,0.0253,0.4876
