Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish,Cohort_Coupon
0.04000000000000001,0.05,0.025,0.2074,0.5269,0.015
0.045000000000000005,0.05,0.025,0.1555,0.5194,0.015
0.05,0.05,0.025,0.1195,0.5122,0.015
0.05500000000000001,0.05,0.025,0.0919,0.5065,0.015
0.06000000000000001,0.05,0.025,0.0713,0.5001,0.015
0.065,0.05,0.025,0.0556,0.4941,0.015
0.07,0.05,0.025,0.0418,0.4884,0.015
0.07500000000000001,0.05,0.025,0.0309,0.4835,0.015
0.08000000000000002,0.05,0.025,0.0243,0.4785,0.015
0.02,0.05,0.03,0.5088,0.5645,0.015
0.025,0.05,0.03,0.4486,0.5554,0.015
0.030000000000000002,0.05,0.03,0.3552,0.5452,0.015
0.035,0.05,0.03,0.2706,0.537,0.015
0.04000000000000001,0.05,0.03,0.2074,0.5269,0.015
0.045000000000000005,0.05,0.03,0.1555,0.5194,0.015
0.05,0.05,0.03,0.1195,0.5122,0.015
0.05500000000000001,0.05,0.03,0.0919,0.5065,0.015
0.06000000000000001,0.05,0.03,0.0713,0.5001,0.015
0.065,0.05,0.03,0.0556,0.4941,0.015
0.07,0.05,0.03,0.0418,0.4884,0.015
0.07500000000000001,0.05,0.03,0.0309,0.4835,0.015
0.08000000000000002,0.05,0.03,0.0243,0.4785,0.015
0.02,0.05,0.035,0.5088,0.5645,0.015
0.025,0.05,0.035,0.4486,0.5554,0.015
0.030000000000000002,0.05,0.035,0.3552,0.5452,0.015
0.035,0.05,0.035,0.2706,0.537,0.015
0.04000000000000001,0.05,0.035,0.2074,0.5269,0.015
0.045000000000000005,0.05,0.035,0.1555,0.5194,0.015
0.05,0.05,0.035,0.1195,0.5122,0.015
0.05500000000000001,0.05,0.035,0.0919,0.5065,0.015
0.06000000000000001,0.05,0.035,0.0713,0.5001,0.015
0.065,0.05,0.035,0.0556,0.4941,0.015
0.07,0.05,0.035,0.0418,0.4884,0.015
0.07500000000000001,0.05,0.035,0.0309,0.4835,0.015
0.08000000000000002,0.05,0.035,0.0243,0.4785,0.015
0.02,0.055,-0.01,0.6044,0.67,0.015
0.025,0.055,-0.01,0.5386,0.6586,0.015
0.030000000000000002,0.055,-0.01,0.426,0.6472,0.015
0.035,0.055,-0.01,0.3251,0.638,0.015
0.04000000000000001,0.055,-0.01,0.2475,0.6271,0.015
0.045000000000000005,0.055,-0.01,0.1902,0.6177,0.015
0.05,0.055,-0.01,0.1444,0.6087,0.015
0.05500000000000001,0.055,-0.01,0.1109,0.6023,0.015
0.06000000000000001,0.055,-0.01,0.0836,0.5964,0.015
0.065,0.055,-0.01,0.0658,0.5899,0.015
0.07,0.055,-0.01,0.0493,0.5825,0.015
0.07500000000000001,0.055,-0.01,0.0378,0.5778,0.015
0.08000000000000002,0.055,-0.01,0.0287,0.5729,0.015
0.02,0.055,-0.005,0.6044,0.67,0.015
0.025,0.055,-0.005,0.5386,0.6586,0.015
0.030000000000000002,0.055,-0.005,0.426,0.6472,0.015
0.035,0.055,-0.005,0.3251,0.638,0.015
0.04000000000000001,0.055,-0.005,0.2475,0.6271,0.015
0.045000000000000005,0.055,-0.005,0.1902,0.6177,0.015
0.05,0.055,-0.005,0.1444,0.6087,0.015
0.05500000000000001,0.055,-0.005,0.1109,0.6023,0.015
0.06000000000000001,0.055,-0.005,0.0836,0.5964,0.015
0.065,0.055,-0.005,0.0658,0.5899,0.015
0.07,0.055,-0.005,0.0493,0.5825,0.015
0.07500000000000001,0.055,-0.005,0.0378,0.5778,0.015
0.08000000000000002,0.055,-0.005,0.0287,0.5729,0.015
0.02,0.055,0.0,0.6044,0.67,0.015
0.025,0.055,0.0,0.5386,0.6586,0.015
0.030000000000000002,0.055,0.0,0.426,0.6472,0.015
0.035,0.055,0.0,0.3251,0.638,0.015
0.04000000000000001,0.055,0.0,0.2475,0.6271,0.015
0.045000000000000005,0.055,0.0,0.1902,0.6177,0.015
0.05,0.055,0.0,0.1444,0.6087,0.015
0.05500000000000001,0.055,0.0,0.1109,0.6023,0.015
0.06000000000000001,0.055,0.0,0.0836,0.5964,0.015
0.065,0.055,0.0,0.0658,0.5899,0.015
0.07,0.055,0.0,0.0493,0.5825,0.015
0.07500000000000001,0.055,0.0,0.0378,0.5778,0.015
0.08000000000000002,0.055,0.0,0.0287,0.5729,0.015
0.02,0.055,0.005,0.6044,0.67,0.015
0.025,0.055,0.005,0.5386,0.6586,0.015
0.030000000000000002,0.055,0.005,0.426,0.6472,0.015
0.035,0.055,0.005,0.3251,0.638,0.015
0.04000000000000001,0.055,0.005,0.2475,0.6271,0.015
0.045000000000000005,0.055,0.005,0.1902,0.6177,0.015
0.05,0.055,0.005,0.1444,0.6087,0.015
0.05500000000000001,0.055,0.005,0.1109,0.6023,0.015
0.06000000000000001,0.055,0.005,0.0836,0.5964,0.015
0.065,0.055,0.005,0.0658,0.5899,0.015
0.07,0.055,0.005,0.0493,0.5825,0.015
0.07500000000000001,0.055,0.005,0.0378,0.5778,0.015
0.08000000000000002,0.055,0.005,0.0287,0.5729,0.015
0.02,0.055,0.01,0.6044,0.67,0.015
0.025,0.055,0.01,0.5386,0.6586,0.015
0.030000000000000002,0.055,0.01,0.426,0.6472,0.015
0.035,0.055,0.01,0.3251,0.638,0.015
0.04000000000000001,0.055,0.01,0.2475,0.6271,0.015
0.045000000000000005,0.055,0.01,0.1902,0.6177,0.015
0.05,0.055,0.01,0.1444,0.6087,0.015
0.05500000000000001,0.055,0.01,0.1109,0.6023,0.015
0.06000000000000001,0.055,0.01,0.0836,0.5964,0.015
0.065,0.055,0.01,0.0658,0.5899,0.015
0.07,0.055,0.01,0.0493,0.5825,0.015
0.07500000000000001,0.055,0.01,0.0378,0.5778,0.015
0.08000000000000002,0.055,0.01,0.0287,0.5729,0.015
0.02,0.055,0.015,0.6044,0.67,0.015
0.025,0.055,0.015,0.5386,0.6586,0.015
0.030000000000000002,0.055,0.015,0.426,0.6472,0.015
0.035,0.055,0.015,0.3251,0.638,0.015
0.04000000000000001,0.055,0.015,0.2475,0.6271,0.015
0.045000000000000005,0.055,0.015,0.1902,0.6177,0.015
