rep,n_loans,central_trapped_b,central_share_pct,null_trapped_b,null_share_pct,marginal_b,marginal_pp
1,101386,788.9911290254479,103.17004657422709,739.6171770311886,96.71381057941517,49.3739519942593,6.4562359948119195
2,73128,782.2317531050411,102.28617715812547,721.7196002602516,94.3734879051867,60.51215284478951,7.912689252938762
3,91060,789.9455073075893,103.29484297331915,740.0640851716586,96.7722491751997,49.881422135930734,6.522593798119445
4,72832,784.5546095841826,102.5899184833724,734.9201638377128,96.0996198083108,49.63444574646974,6.490298675061595
5,80376,791.539811546075,103.50331736103658,745.0585980789692,97.42534159957117,46.48121346710582,6.07797576146541
6,73358,789.0265964279545,103.17468436219941,736.4248678977157,96.29637789878853,52.6017285302388,6.87830646341088
7,62187,790.5583347071639,103.37497750085709,746.1939646902624,97.57380439193567,44.36437001690149,5.801173108921418
8,91600,792.7765147455733,103.6650311268787,749.2900503325328,97.97865469780082,43.486464413040494,5.686376429077882
9,80694,791.3459706369027,103.47797033888185,743.5681477607993,97.23044735667634,47.777822876103414,6.24752298220551
10,64186,786.5444164896475,102.85010958509505,734.921252206956,96.09976212563399,51.623164282691505,6.750347459461068
11,68649,785.4049752515147,102.70111398643485,729.7417074860226,95.42247457393232,55.66326776549204,7.278639412502528
12,78058,789.8909072605927,103.28770336276543,737.7578319135487,96.47067892010055,52.13307534704404,6.817024442664874
13,86323,786.0809405803252,102.7895045549601,730.3181715339755,95.4978541574127,55.76276904634972,7.2916503975474
14,87047,794.6600907365377,103.91133126329966,748.1713870393019,97.83237606447058,46.48870369723579,6.078955198829078
15,68404,788.7368316159865,103.1367941400581,736.4141712185816,96.2949791797867,52.32266039740489,6.841814960271407
16,82563,789.6002775562828,103.2497000455842,739.7795703976464,96.73504545844543,49.820707158636424,6.514654587138779
17,70360,775.1316947089264,101.35775942507482,703.6876397686299,92.01559294882247,71.4440549402965,9.342166476252345
18,66966,791.7417538110152,103.52972373255677,743.2697751002704,97.19143155516629,48.47197871074479,6.3382921773904854
19,66522,784.7280696074813,102.61260046042405,734.2295439086963,96.00931297516587,50.49852569878499,6.603287485258178
20,88452,781.8447948831857,102.23557773272964,729.6541161671519,95.4110209591641,52.19067871603386,6.824556773565533
21,62879,784.4851439105146,102.5808350139594,728.1447265987811,95.21365018230908,56.34041731173352,7.36718483165032
22,58486,782.9905503358399,102.38539899061756,727.9724800132445,95.19112687678853,55.01807032259535,7.1942721138290295
23,75095,774.9161548229432,101.32957500162894,719.7599760421441,94.11724355159066,55.15617878079911,7.212331450038278
24,85436,785.7446265262978,102.7455274615035,735.0922147704821,96.12211752988703,50.652411755815706,6.6234099316164645
25,82926,769.7972642471633,100.6602187063764,711.6428972226496,93.05583820868357,58.154367024513704,7.60438049769283
26,58224,781.569514063124,102.19958146612795,723.2727638644184,94.5765826618758,58.29675019870558,7.622998804252148
27,63456,780.1496936790189,102.01392293364727,724.1681127039858,94.69366025385386,55.981580975033125,7.320262679793402
28,82961,791.2636773397147,103.4672095039481,744.0587171956091,97.29459518999828,47.2049601441056,6.172614313949822
29,65309,787.2384924617402,102.94086833729462,738.6799225525465,96.59125332286801,48.55856990919369,6.349615014426604
30,73743,779.5021901377613,101.92925408497334,717.7371244756857,93.8527314643863,61.765065662075585,8.076522620587042
31,78172,782.4314909015162,102.31229526897219,725.8145191590943,94.9089476308659,56.616971742421924,7.403347638106297
32,73964,787.2219329468787,102.93870298225238,734.9739616299277,96.1066545144364,52.247971316951066,6.83204846781598
33,94523,780.6079983884977,102.07385176742325,724.0899618255016,94.68344108981461,56.51803656299603,7.390410677608642
34,65822,788.7984138059179,103.14484674948503,742.7296907111829,97.12080904811098,46.06872309473499,6.024037701374041
35,62557,781.7839942879432,102.22762732617605,727.9640297907555,95.19002190891793,53.8199644971877,7.037605417258121
36,75679,789.3475383691251,103.21665136765752,741.7593084750838,96.99391994022353,47.58822989404132,6.222731427433985
37,65969,785.9520440006762,102.77264978228087,735.5171939250146,96.17768864793035,50.43485007566164,6.594961134350513
38,58673,783.8621594504614,102.49937232902644,729.4387697588126,95.3828618352391,54.42338969164882,7.116510493787345
39,59675,781.8252578892151,102.2330230366073,731.9451098259668,95.71059583876148,49.88014806324827,6.522427197845829
40,57038,771.5231944516959,100.88590476675763,707.006242226375,92.44953999528647,64.51695222532089,8.436364771471162
41,78236,786.9577191267787,102.90415385853923,734.0655340897196,95.98786672559478,52.89218503705911,6.916287132944447
42,73423,781.601523489141,102.2037670822287,724.370725093473,94.72015425219035,57.23079839566799,7.483612830038339
43,90737,786.9760985039682,102.90655718239282,737.6781517508057,96.46025978381522,49.29794675316248,6.446297398577599
44,67814,784.2934607989182,102.55577014970001,728.2489655167955,95.22728067019514,56.04449528212274,7.328489479504867
45,55558,792.8041671175107,103.66864700593706,746.2332403876203,97.57894016010414,46.5709267298904,6.0897068458329215
46,82278,786.7811365526011,102.88106357053486,734.6351238536021,96.06234741404124,52.146012698999016,6.818716156493622
47,86711,780.8333708225166,102.10332191437281,731.8185972774747,95.69405280672983,49.01477354504186,6.409269107642984
48,67127,785.0782263971992,102.6583876574843,728.4385889241291,95.2520762034356,56.639637473070024,7.406311454048691
49,76827,789.9281852866065,103.29257791146256,740.1544066405623,96.78405978980695,49.77377864604421,6.508518121655612
50,73684,784.3134241808735,102.5583806011618,726.1861032171804,94.95753670008185,58.12732096369314,7.600843901079955
51,58035,784.4763574750317,102.57968608221017,734.5825902130031,96.05547801089091,49.89376726202863,6.524208071319265
52,76049,783.0331428311918,102.39096846987721,733.7289477047077,95.94385402159796,49.304195126484046,6.447114448279251
53,70713,781.3887656650589,102.17594644672079,722.5048819243739,94.47617289476506,58.883883740685064,7.6997735519557295
54,89111,783.377890717788,102.4360483880259,732.982280489772,95.84621833406428,50.395610228015926,6.58983005396162
55,77550,784.7539183312005,102.61598049086022,731.6204173802189,95.66813840987824,53.133500950981556,6.947842080981985
56,65352,786.6495538112647,102.86385755002001,737.934826905918,96.49382313672655,48.71472690534665,6.370034413293467
57,62602,780.7409537318829,102.09123727210732,727.8375276742888,95.17348024099864,52.90342605759406,6.917757031108678
