rep,rate_gap_bps,burnout_orth,friction,trapped_b,share_pct,cpr_r_lag0
0,1.3409209606442942,0.4587165803958424,1.3625649052914603,1217.6339934627729,159.22023859898752,0.0743079867328225
1,0.6902427977147368,-0.2342378919794139,0.0809281508998761,932.8338492233986,121.97920626720943,-0.3640800670586531
2,0.6372223402991702,-0.2200294561568339,0.0212955801260366,922.669098667881,120.6500433024452,-0.3504091827781962
4,0.7697040585457386,1.0410696444938958,1.4765744256630675,1217.6340027935485,159.2202398190983,0.0597051188993504
5,0.6409790282905345,-0.2097269316663524,0.0311165867603119,934.0244234014122,122.134888110613,-0.3805297249470092
6,0.555843399864475,-0.2017457906200223,0.0064578357161357,884.7547698461806,115.69229038677302,-0.3848367322808808
7,0.6709589884435485,-0.1961406200598321,0.0089855965522736,947.7216801935666,123.92596860467536,-0.3773948704532545
8,0.5945372933495057,-0.1969450935085178,-0.0033073068224303,916.0800919073056,119.7884516959513,-0.3876990352897223
9,1.8292379012069808,0.7516563257604959,1.0016267026861372,1217.6340085853042,159.22024057643978,0.0503888901541588
10,1.9031722390253785,-0.3533171936637253,0.8473271936242586,1217.6340043772486,159.22024002618608,0.0510516634667657
11,0.5792920166148781,-0.1444447351621625,-0.0293867245439671,1028.661523699296,134.5098232476436,-0.3755737041262235
12,0.6464509044100768,-0.1143531639522631,-0.05106122165451,899.7219322002384,117.64942625350892,-0.4047354693500276
13,3.156911325180773,-1.2899387288342734,0.3428235240196008,1217.6340184547892,159.22024186699323,0.0311930520695285
14,2.497900263271394,0.0509627859558058,0.6060128249747108,1217.633995046114,159.2202388060284,0.0707308642408143
15,0.6792094161132047,-0.1726168004545996,-0.0113496385555409,943.7588364596523,123.40777928979765,-0.3760922611411684
16,0.6769675863984851,-0.2480878682777154,0.0689951805233328,937.8756676728448,122.63848445819576,-0.3619064213503127
17,0.6322843826434792,-0.1937656295621458,0.0022501712066025,938.3821382402326,122.70471155518534,-0.3641393864932404
18,0.603491686890268,-0.1748533794849476,-0.0019244475407179,902.7655166617568,118.04741140073776,-0.375467780076114
19,0.688272993277451,-0.1604560388706142,-0.0155962773852418,943.6626316408536,123.39519935667668,-0.3865419648896799
20,1.0749083035681206,1.4154731409880623,1.1832954783103296,1217.6340070694316,159.22024037822126,0.0538413864659301
21,0.6563541555356243,-0.21250108260337,-0.0108200487204207,943.3036360613488,123.34825638191448,-0.3686461478664417
22,2.971802174575883,0.0252725592204535,0.7098648202483204,1217.634021005464,159.22024220052455,0.0323351347374878
23,1.4951448093542952,0.9740136119274851,1.0830371326043706,1217.6339912008063,159.22023830320833,0.0839526365091377
24,0.6466472679699762,-0.1764048477953954,0.0026742749170009,921.4116803668408,120.4856207887956,-0.3853380503834225
25,0.6486601602740192,-0.1444488225743416,-0.0307354889774885,1046.1668677221712,136.79885678895693,-0.3711300471338638
26,0.698767761370846,-0.1765278513845646,0.0264318379697048,929.7086538683658,121.57054951750612,-0.373366065132224
27,0.6461666346155428,-0.1688500129629421,-0.0084088499013356,935.936683563384,122.38493904618733,-0.3887560698517297
28,0.590230039193837,-0.1400108365290619,-0.0261694533410581,737.927969670342,96.49292647098758,-0.397977761072138
29,2.671639713872666,-0.1798278396961355,0.3284560083158216,1217.6340121694354,159.2202410451079,0.0427509815378323
30,0.6769924800590736,-0.1923738478402696,-0.0046393570893035,948.311528704982,124.00309836717298,-0.3553533810078362
31,0.7665349443074785,0.5310849103562583,1.17118709823506,1217.6339845076734,159.22023742800098,0.0956638037711156
32,-3.572894783354742,0.8009882796229235,-1.4116012562762383,1217.6340840310556,159.22025044187603,0.0069793666115153
33,1.3617867196282916,0.4406318569480631,1.0658397042569248,1217.6340194702077,159.22024199977133,0.0331628240469739
34,3.2301679131637338,-0.8189022951603891,0.0407086214466485,1217.6340072746552,159.22024040505673,0.0427301090893006
35,1.425215148013658,1.188601435119037,1.3334757448257422,1217.6340043475238,159.2202400222992,0.0562048539510692
36,0.7811468890454903,1.060448012212367,1.598894685112978,1217.6339960566058,159.2202389381623,0.0685195773453544
37,0.6887755542231888,-0.1515107370725668,-0.043465755479488,945.6367676800852,123.65334130481618,-0.3852801357819835
38,0.7022920252835574,-0.1946562775851073,0.0072022037254415,964.7104249919862,126.14745060569044,-0.3544771477902262
39,0.6160764915306521,-0.166389381845603,0.0115476411928046,1023.0736498183876,133.77914176424554,-0.3535189731078609
40,0.6256806129470147,-0.1980666181279358,0.0001161561795901,869.9247918433003,113.7530930181768,-0.3506465244531198
41,2.9983753381367313,-1.7147649098702986,0.2988346551408771,1217.634014704222,159.2202413765616,0.0344599551651286
42,0.5828122220209618,-0.1914126631968783,-0.0085606876634005,1016.866742334169,132.96751421778666,-0.3825513885091268
43,0.6340001163199096,-0.160918526658354,-0.0046144406844755,914.4886893473308,119.58035673747725,-0.3895657263013859
44,0.6600923568975288,-0.1520150634401135,-0.0067381038415167,918.6834092077976,120.12886663505331,-0.3806253202307404
45,0.6656059359777065,-0.154940092678483,0.045902398655496,1021.3960796815176,133.55977936233086,-0.3123280322277997
46,0.6933899710385473,-0.1641869090564419,-0.0082449878761395,1021.4879172504504,133.57178822518813,-0.3622664950185119
47,0.6981761270178789,-0.1433847346946269,0.0192231067456143,927.551934263146,121.28853257975815,-0.3601197910689117
48,0.6473717597073886,-0.1923223701021182,0.0103715739535732,864.2465336330432,113.01059270041488,-0.3897137901527528
49,0.6744558266939823,-0.2094600963270355,0.0206676342037812,1016.7665439372092,132.95441207645618,-0.3329187091124494
50,0.7211159683373629,-0.1356751520909378,-0.0352250032378065,829.643825964889,108.48587394200833,-0.399597459453345
51,0.6138897019255118,-0.1322754696232937,-0.0346682832341489,904.4117646746412,118.26267805953,-0.3650443516266577
52,0.6866568331302704,-0.192062307743614,0.0342760162141726,946.2648858085898,123.73547527842874,-0.376431738740468
53,3.583594188635081,-1.4469556527858438,-0.2819698593609059,1217.6340325760548,159.22024371351796,0.0115636196039203
54,1.7558214835985124,0.8965464724245881,1.0726256157956118,1217.634006085047,159.2202402495012,0.0550645791580851
55,0.6454640965454869,-0.1991816765797422,0.0132307017280784,1047.4514248705352,136.9668280321668,-0.3490808652998156
56,0.5904276563197709,-0.1454020918725188,-0.042977397362601,904.4069298915064,118.26204585368782,-0.3942810230968105
57,3.166067898033093,-0.0118021750271395,0.4438349273842059,1217.6340155223145,159.22024148353702,0.0336586460823458
58,1.0051014794484954,0.11915683061442,1.1768401362220544,1217.6340130943458,159.220241166051,0.0415800710452425
59,1.7740216334076748,-0.3760976314155181,0.4072878294991576,1217.6339995070098,159.220239389344,0.0631984438419666
60,0.6615540941490803,-0.1949260403680437,0.0168635144827799,948.7128735709056,124.05557901871184,-0.3718306564827411
61,1.32715765816139,-0.0165882082460956,1.022357833692398,1217.6340005505726,159.22023952580233,0.0634207659597312
62,2.25139429692835,0.1379854804676189,0.7061772345210385,1217.6340081420344,159.22024051847694,0.0469635112846307
63,0.6748234582802204,-0.1552809197429509,0.0063918993875258,922.008961711078,120.56372248327088,-0.3683889132042066
64,0.6675063019823693,-0.1142040133118234,-0.0311483611606986,911.296628093711,119.16295647011236,-0.3418398310960814
65,2.015956634349633,-0.4674357290774162,0.6000815661199357,1217.6340185478343,159.22024187916,0.0297511026231888
66,0.6322459106242005,-0.2055848868128086,0.0053984789967526,948.9100243458104,124.08135884548152,-0.3700415293437347
67,1.0305620136702438,0.7947784400043072,1.3680587540102391,1217.6340070315375,159.22024037326622,0.04921524419597
68,2.2528586005255353,-0.219468018429048,0.969850246738773,1217.6340070741005,159.22024037883176,0.0483818204158755
69,3.737598501496608,-2.300326263144014,-0.3768939028412931,1217.634024007064,159.22024259301972,0.0199184070049643
70,0.5935858089576592,-0.1368970471740466,-0.0212904488356526,894.9389087728931,117.02398861345034,-0.3760689304273937
71,0.6718401198693567,-0.1958042381727445,-0.0194583594812784,1066.4198856685398,139.44718162801618,-0.3679896172327052
72,2.085467222070815,-0.4149045859121607,0.3086879862161557,1217.6340142432005,159.2202413162775,0.037682518882194
73,0.7164492068375657,-0.1940041637324811,-0.035031090113643,985.9942511515654,128.9305659733801,-0.3690525579161764
74,0.6201978581646037,-0.2190521345565501,0.007547139593414,928.5244768009898,121.41570417299098,-0.3819412323597378
75,0.6123159001320292,-0.1442499448823642,-0.008102736485771,748.6871672061964,97.89982050317587,-0.3889616344345968
76,2.2887495489879397,0.377601214680167,1.044774050264644,1217.6340098900123,159.22024074704603,0.0491965934408007
77,4.997863073476986,-2.569096633701282,-0.7449241388332439,1217.634037287124,159.22024432954672,0.0029676893096713
78,1.2637248646734451,0.4765219834659986,1.1974527198245395,1217.634007084933,159.22024038024827,0.0465216051577011
79,0.6591593481323199,-0.1604901339509252,0.0057481607567162,936.9446289826132,122.51673999048262,-0.3750615882606525
80,0.6478778434016952,-0.1221053253440683,-0.0333848790709703,920.5456635227258,120.3723787067816,-0.3824325601962606
81,0.5249204299224572,0.9057864864064692,1.5082552893745194,1217.6339952220146,159.2202388290295,0.0716484209656482
82,2.2424911208101497,-0.597031603476317,1.0254655997417033,1217.634008903823,159.22024061808995,0.0483250365819476
83,0.8210546227451188,2.29969592905134,1.4973910031924889,1217.6340048342145,159.22024008593985,0.0566121292534757
84,2.4900638761153715,-0.7278473947645775,0.4526469133450107,1217.6340160398374,159.22024155120934,0.0350090411596257
85,0.6642596784374658,-0.1604584712556396,-0.0203180721542793,940.5352860364068,122.98626143609066,-0.3904686824652489
86,3.5390652974916708,-0.3491885089242802,0.7404060618794076,1217.634026444758,159.2202429117774,0.0229447255194022
87,2.9680599174200224,-1.2568260314896216,0.1904005680186657,1217.634021924669,159.2202423207216,0.0263427848896238
88,0.6462689015639048,-0.1447053560524328,-0.0110338259678513,915.9486487356602,119.77126392584636,-0.3912526375969107
89,0.5608165282656207,2.14440307833896,1.5447677909426965,1217.6340045077438,159.2202400432499,0.0531468102678447
90,0.6532177145891728,-0.1768913399838673,0.0105835901087196,918.6199997783506,120.12057509215934,-0.3705941894220423
91,0.3769466174363797,4.38156844079292,1.6936066661139726,1217.633994178292,159.22023869255025,0.0805396794859044
92,2.306028531552729,0.9583521177281182,1.4078870997569914,1217.6340114342784,159.2202409489773,0.0493833808565354
93,2.969614545514526,-0.5425657515362223,0.4970621733685526,1217.6340191027716,159.22024195172472,0.0270490034154402
94,0.7297095911925685,-0.2188863517748624,0.0586894079078296,967.798997111278,126.55131842837277,-0.3722279612348365
95,5.972448698680953,-2.862056146200431,-0.5165181596604772,1217.634029131787,159.22024326313866,0.0184775365147355
96,0.6062258641236504,-0.1327581383868813,-0.0413351771327535,916.1332954656876,119.79540869888106,-0.3912995691709315
97,0.6028084174377245,-0.1998049340017273,0.0025514372249452,921.5072729728034,120.4981206677505,-0.3757628494774639
98,0.6351843784225105,-0.1869573212995963,-0.0144457500735055,1046.2044878491156,136.80377607145095,-0.2781499113508563
99,0.6171126380281934,-0.1627942629681784,-0.0111540148616495,905.4400624761104,118.39714032173664,-0.3879644519997774
100,1.8204935517689789,-0.5565815137519823,0.5608180343082764,1217.6340118595476,159.22024100458637,0.0401556167802605
101,4.440369035034824,-1.1586438998015984,-0.376166386793325,1217.634033232803,159.22024379939566,0.0108476821053796
102,0.6649115819344618,-0.1675813272882921,0.0192419425725562,927.446520584,121.27474847777404,-0.3779303864997419
103,0.623198694333823,-0.186100718745361,-0.000744557522138,856.5368237608625,112.00245572989007,-0.3794854730882592
104,2.642223370964963,0.404148486051527,0.8295117573462651,1217.6340106983623,159.22024085274748,0.0426938790444978
105,0.6785009699644782,-0.153089204429256,-0.022197798238587,938.3398427061984,122.69918090717718,-0.3538743896894767
106,2.071538832295538,0.3334996764455342,0.947717411658382,1217.6340142368856,159.22024131545177,0.0442209137018391
107,0.7098575828075163,-0.1644729087147818,-0.0020548570926853,950.0720265072142,124.23330455526344,-0.3166462986150995
108,0.7077065396423805,-0.1193483228280336,-0.0178243569347612,913.9961125980436,119.5159464237287,-0.386829457386445
109,0.6793525828203274,-0.1404078440451853,-0.0301470257972764,928.5822941622698,121.42326448594842,-0.3632845061657534
110,1.994973391808092,0.096642440010277,1.0802200327468112,1217.6340147149958,159.22024137797044,0.0394988878902999
111,3.5067526400070412,-0.062048351267725,0.4304199850238493,1217.63401332127,159.22024119572407,0.0420357649089405
112,1.1282317933785593,0.4039241668261823,0.7496230940678126,1217.634004052384,159.22023998370614,0.0547390974021014
113,2.246315776955889,0.0350672101967729,0.8950801660587995,1217.6340167117569,159.22024163907088,0.0353140912272635
114,0.6098408065352849,-0.1589519381590351,-0.0176990834705976,907.666092243045,118.68822039384588,-0.3863857683103864
115,0.6402389876095883,-0.2079198882323382,0.0255816749383743,947.02228102007,123.83451378009104,-0.3619949077025447
116,0.5746940695384261,-0.1973286691608267,0.0122779638753971,840.7424143612565,109.93714739697826,-0.3757741972389876
117,0.6128595264910618,-0.2262213735646701,0.0248115146126609,932.2480183041504,121.90260185304052,-0.3540111499737848
118,4.01818444948534,-1.840665091007889,0.1472645987473357,1217.63402999603,159.2202433761488,0.0141716646082642
119,0.701884956832462,-0.1586081046355146,0.0039131525275411,844.3599547205492,110.41018415699024,-0.3829458127708933
120,0.6865782034405278,-0.130242757752124,-0.0166064168421071,932.4033743646628,121.9229165199728,-0.3352300287445263
121,3.759637455868255,-1.188957085836586,0.1284584375091099,1217.6340309977213,159.22024350713195,0.0158050204398741
122,0.6315562703893826,-0.1843330507637919,-0.0112843823852995,918.0535962531088,120.04651104260384,-0.3855118500295053
123,0.659244759081243,-0.1203558264215817,-0.0190796371277295,737.9491178886585,96.49569185400446,-0.4029576976643529
124,1.8064684605245365,-0.1891453875520743,0.99823720152219,1217.634009147744,159.22024064998553,0.0461275667515569
125,1.3664299322976607,1.3396145988409944,1.353876858154836,1217.6340118043292,159.2202409973659,0.0465664672053522
126,2.421605074843614,-0.3170221767849852,0.546615307429577,1217.634011284893,159.22024092944338,0.0464891231404742
127,3.453693707235527,-0.5598574377488122,0.3363504852918607,1217.634024086982,159.22024260346996,0.0288021817287238
128,0.65405697250675,-0.246084844191448,0.0589985425732066,939.9313483678432,122.90728934743032,-0.3721485177487511
129,3.5026081635253035,-0.0767953601946992,0.511050032554165,1217.6340234718257,159.22024252303086,0.0244923974763138
130,0.6588930643478949,-0.1421705444424153,-0.0196788722036846,920.3901916174872,120.35204889176292,-0.3800707013694109
131,0.6272295147865862,-0.1289315294712973,-0.0147690179063469,910.244324210028,119.02535512493134,-0.3930275842782189
132,0.6860488311836208,-0.1315584327359659,-0.031473631896262,928.7532959302158,121.44562501664926,-0.3972857767597201
133,0.596783322065878,-0.1766272375078257,-0.0067622929927524,844.4968326742159,110.42808258998302,-0.3805422692474123
134,0.6208370251569344,-0.1394373759915251,-0.0330564276434733,780.9469520512328,102.1181740213554,-0.3593454275297844
135,3.868010632832078,-1.9416156466010952,-0.110907108059343,1217.6340282902652,159.2202431530996,0.0144726599970207
136,0.6974306930824481,-0.1575892741122256,0.0392941980037144,925.2927428321874,120.9931162226186,-0.2853622884450701
137,0.6853049188632976,-0.2430967410296669,0.0151869722474287,1071.8920471135525,140.1627323235493,-0.358874661692694
138,4.122844781106104,-1.0262390458173152,-0.3234246908391206,1217.634034133923,159.22024391722792,0.0094370729619884
139,3.201357351105398,-0.3872496927651492,0.5127623550019567,1217.6340185130462,159.22024187461105,0.0279956742010445
140,1.3887875194624988,1.981533072604116,1.345245892518463,1217.6340133793385,159.22024120331724,0.0462508198520261
141,3.3336788838419724,-1.3150504195802502,-0.0228233522504401,1217.6340256664075,159.22024280999878,0.0190618064604035
142,0.6254767900297995,-0.1252579301903068,-0.0427533133982738,882.6409170173778,115.41587879382136,-0.399980957833346
143,5.625615658300575,-3.5671327115929934,-1.030365205154157,1217.6340387303603,159.2202445182672,0.0025065612753187
144,3.5422320429907,-1.2001964884956715,-0.2099499516354555,1217.6340234788947,159.22024252395525,0.0203209916528767
145,0.6981318711209396,-0.157087574523368,0.0153057829257086,798.2611761746899,104.38221634515202,-0.3841052558401334
146,2.6811408684013687,-1.2129647665897263,0.4023527910921502,1217.6340212219288,159.2202422288299,0.0258638547460669
