rep,n_loans,central_trapped_b,central_share_pct,null_trapped_b,null_share_pct,marginal_b,marginal_pp
1,101386,769.5628587353441,100.6295673762385,729.6116384788488,95.4054664923021,39.951220256495276,5.224100883936401
2,73128,767.0918970731451,100.30645952319193,714.3256526923865,93.40664064052065,52.76624438075862,6.899818882671283
3,91060,770.6247302136344,100.76841979908686,730.005506307754,95.4569694316348,40.6192239058804,5.3114503674520535
4,72832,766.5273064782298,100.23263253600547,725.8186980003148,94.90949406444099,40.708608477914936,5.3231384715644765
5,80376,771.437102766464,100.87464724706156,734.570134847982,96.0538493226306,36.86696791848203,4.820797924430963
6,73358,770.9726550488261,100.81391514134172,726.2283965645404,94.96306706215613,44.74425848428575,5.850848079185596
7,62187,769.762696910489,100.6556986127994,735.432244999789,96.16658055780165,34.33045191070005,4.489118054997746
8,91600,772.5908948381422,101.02551938920979,738.096685674443,96.51498811066966,34.49420916369911,4.510531278540128
9,80694,770.9041681830029,100.8049596627859,733.4054873895577,95.90155770855809,37.498680793445146,4.903401954227817
10,64186,767.783419337513,100.39688434749898,725.7107021350979,94.8953723106793,42.072717202415106,5.501512036819676
11,68649,767.7979042479511,100.39877842314769,721.8427619070172,94.38959276665538,45.95514234093389,6.009185656492306
12,78058,770.5481122455301,100.75840108145249,728.5774795871125,95.2702378222949,41.97063265841757,5.488163259157588
13,86323,768.0276294335293,100.42881774453352,721.8987941048161,94.39691964809157,46.128835328713194,6.0318980964419495
14,87047,773.8152022886937,101.18561226230787,737.3554796844054,96.41806654374693,36.459722604288345,4.767545718560939
15,68404,769.7019755362571,100.64775856534247,727.4777997949328,95.1264415092539,42.2241757413243,5.521317056088577
16,82563,769.9586494561162,100.68132175672962,729.9647722517541,95.45164296559473,39.99387720436209,5.229678791134887
17,70360,761.3530998058286,99.55604299812858,698.3145084722652,91.312991632151,63.03859133356343,8.243051365977578
18,66966,771.6676822670502,100.90479828037411,732.6096201125387,95.79748852321961,39.058062154511504,5.107309757154496
19,66522,765.6556919747655,100.11865849294081,725.0499896044431,94.80897622832534,40.60570237032243,5.309682264615475
20,88452,764.2840026093033,99.93929366802206,721.5381994451733,94.34976757443553,42.74580316413005,5.589526093586528
21,62879,767.356245837574,100.34102629249344,719.9894675093283,94.14725231149527,47.36677832824569,6.193773980998174
22,58486,765.0776791875478,100.04307639323913,719.6923518337594,94.10840087583435,45.3853273537884,5.934675517404784
23,75095,758.9554281175485,99.24251868758898,711.9470768340313,93.09561333861683,47.008351283517186,6.146905348972155
24,85436,766.4014788787622,100.21617906926825,725.9903738085673,94.93194273399061,40.411105070194935,5.28423633527764
25,82926,755.6971403741364,98.81645851292608,705.0990629225674,92.20015344281374,50.598077451569,6.6163050701123325
26,58224,766.4886859755314,100.22758244239158,715.9199231677314,93.61511061330276,50.5687628078,6.612471829088818
27,63456,764.8125428146017,100.00840663468409,716.819042962669,93.73268130289225,47.99349985193271,6.275725331791847
28,82961,771.6291428043306,100.89975878370873,733.1977325566548,95.87439127411022,38.431410247675785,5.02536750959851
