rep,converged,fit_method,failure,gap_std,burn_std,fric_std,head_const,head_age_linear,head_age_spline_12,head_age_spline_24,head_age_spline_36,head_age_spline_60,head_age_spline_84,head_age_spline_120,head_rate_gap_bps,head_burnout_orth,head_friction,head_m_2,head_m_3,head_m_4,head_m_5,head_m_6,head_m_7,head_m_8,head_m_9,head_m_10,head_m_11,head_m_12,resc_rate_gap_bps,resc_burnout_orth,resc_friction
0,True,"ridge(alpha=0.0001, warm_start)",,221.4902087925809,0.12106603247680771,0.004086956027517447,-13.497155120891684,-163.27653917768984,-1006.7777179595791,-170.59885534334674,-13.09339887819699,0.1501789770406874,5.601148119498939e-07,3.4395419565350125e-07,1.3440945528137362,0.4618999733736198,1.363726182520568,-0.7523386290333395,-0.6175910130141661,-0.5634483349711198,-0.5695268401116909,-0.514762698879757,-0.5450544667973919,-0.5133720109391386,-0.4336215854400415,-0.34407113999528627,-0.36479178850326766,-0.42933576448968325,1.3409209606442942,0.4587165803958424,1.3625649052914448
1,True,"ridge(alpha=0.0001, warm_start)",,219.10119340107696,0.11667497946777998,0.0040854593942587685,-4.078734622759432,0.0523220681454756,-0.0031192896373739482,0.002183133209519273,0.0010257747303540658,0.0014700938740771648,-1.5957229138676236e-07,4.420454470440635e-08,0.6844137654070904,-0.22730870779876586,0.08096746282705614,0.04962210395924934,0.4088084121480195,0.3307194542211192,0.2874350515116336,0.4544399079733383,0.3526701905496801,0.4461455894667083,0.515964907919134,0.5418747095274791,0.36119349066697326,0.2674582716252231,0.6902427977147368,-0.23423789197941383,0.08092815089987486
2,True,"ridge(alpha=0.0001, warm_start)",,219.8306687179982,0.12557578896612004,0.004079053290919639,-3.8661081895945,0.041981886821073254,-0.0036436525717649755,0.0047223127833168075,-0.002005777265888594,0.003920540156508548,7.986810555407503e-06,6.39343231452789e-06,0.6339447115824464,-0.2298094745500689,0.021272516510531796,0.10117207872495566,0.41667624612301557,0.24723762219636636,0.21493521503750884,0.37058230700758815,0.2527753000522285,0.4379839464573497,0.4845463767748006,0.4826582813446906,0.3244637921354041,0.2167585192942164,0.6372223402991702,-0.2200294561568339,0.021295580126036568
3,False,,RuntimeError('non-converged fit (max |macro beta| = 160)'),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,"ridge(alpha=0.0001, warm_start)",,214.8928737233707,0.11958119688315774,0.0040598622641072534,-14.51016158390657,-177.28963630419813,-1005.9012359557746,-161.7419266945185,-8.885979700721624,0.2388765141251377,5.601148119504218e-07,3.439541956538254e-07,0.7485449748378704,1.0354374496018512,1.4680358344148499,-0.8391547560660564,-0.7311131323679813,-0.6583253537675189,-0.6522690306449204,-0.602786168657351,-0.6288205252654286,-0.5999206974479243,-0.513064400065453,-0.419284599745786,-0.4373657256315283,-0.4964335978209582,0.7697040585457386,1.0410696444938956,1.476574425663048
5,True,"ridge(alpha=0.0001, warm_start)",,222.4318305746475,0.11769297906711343,0.004080547185936545,-3.8550177862253276,0.04822119620300898,-0.003998546557390219,0.004469692662773234,-0.0007057440963049166,0.0019209236969347857,-7.21447027240559e-08,-2.336867523433927e-07,0.6452274946471979,-0.20529858121654893,0.031094270426404426,0.08792329181619506,0.41077234198806306,0.2634406099172192,0.2171980401474853,0.3626057760272395,0.24328574053534832,0.38651772534559503,0.43869056082268004,0.4624777238929883,0.313147052460992,0.21436053027823365,0.6409790282905345,-0.20972693166635242,0.03111658676031166
6,True,"ridge(alpha=0.0001, warm_start)",,221.03932985003644,0.11723566554061624,0.004086257437225447,-3.529824419375836,0.043444937935913266,-0.004379748516428265,0.005376370195098371,-0.001517727123499849,0.002967901569172686,5.0206890570394216e-08,-6.400813365310646e-07,0.5560247421451718,-0.19671859968896704,0.006462234765376737,0.09893293415821593,0.413157555757999,0.2302328966221371,0.1906785382981143,0.3204695354384473,0.1925001666640671,0.3595094558136787,0.39714487218555555,0.4108916697082146,0.27801145454452586,0.18173462197486365,0.555843399864475,-0.20174579062002235,0.006457835716135672
7,True,"ridge(alpha=0.0001, warm_start)",,218.83251229631455,0.12096693393246002,0.0040889197864945465,-4.029893798914895,0.05280090259256278,-0.0038692437374263726,0.0040592089808430066,-0.0004093230909177058,0.0017464635263431186,-3.8105387558959454e-08,2.5057848814062004e-08,0.6644769655982619,-0.1973401281653633,0.008997575940692603,0.11228068133528844,0.4445845780467718,0.26811380499852727,0.19120287686121623,0.32310062084442825,0.20879651819618011,0.36069264963447756,0.42190839446033257,0.44059964900396686,0.3169524997239024,0.21287179687625396,0.6709589884435485,-0.1961406200598321,0.008985596552273507
8,True,"ridge(alpha=0.0001, warm_start)",,223.50515054701913,0.12025749625105524,0.004079812282915833,-3.6738411995006577,0.04515111706004343,-0.004202101771373225,0.004815349279654264,-0.0006971568777820276,0.0010256673640236702,0.00016211493433831623,-2.1366206861968468e-05,0.6013658282320431,-0.1969874291579563,-0.003304339657306732,0.12929407898478443,0.44885053738258746,0.24964244514700826,0.17883372209136786,0.30339412289470946,0.1829309902780232,0.3608563579363656,0.4071896642418833,0.41843692591558307,0.2988923959909802,0.20386741369686848,0.5945372933495057,-0.1969450935085178,-0.003307306822430379
9,True,"ridge(alpha=0.0001, warm_start)",,220.11783245006208,0.12088207650759805,0.004076540390226869,-15.129768682511969,-181.76513831624354,-1005.2273700640816,-160.69339049953646,-12.24575174625014,0.17460956017143808,5.60114811948773e-07,3.4395419565281293e-07,1.8222062327741502,0.7557226128273336,0.9999255335182461,-0.8860080088054718,-0.792604549237942,-0.6877114829356348,-0.6755963345493736,-0.6343413161599096,-0.6631761734815936,-0.6650984170533711,-0.5904607753586414,-0.4923087371973981,-0.5075087207598351,-0.57106958807647,1.8292379012069802,0.7516563257604956,1.0016267026861203
