rep,rate_gap_bps,burnout_orth,friction,trapped_b,share_pct,cpr_r_lag0
0,1.2328688115681583,0.4518250213945685,1.2876246187183733,655.8335154703409,85.75809264115539,-0.3449057102357299
1,3.564136593460526,-0.769262816997725,0.4112994937967284,1187.357026363563,155.26116226613937,-0.43614826778416427
2,2.6075682202278725,-1.0259602035285944,0.640821037919885,1166.7049579753823,152.56065679899362,-0.4543644433247987
3,0.7277954374310508,0.978520163058219,1.3622737446524498,-2586.1754363032155,-338.17343490552605,-0.15837654338080492
4,3.708673131517909,-1.756364465539498,-0.0184558939834306,1185.8221279954694,155.06045590798485,-0.3709550807048529
5,0.5792550469456008,-0.1580101964149824,-0.0235555637371896,889.9955262037032,116.37758209361088,-0.4280717838836693
6,2.0515486727775794,-0.1878093274501553,0.7808440947761793,1130.8375689772724,147.8705657988557,-0.47617779356577844
7,2.402149281740045,-0.0215100641378393,0.3615249073894896,1152.3821355105558,150.68777609551125,-0.501004405619996
8,0.7173318783649949,-0.1148024419306404,-0.0553519321033451,923.9039412075433,120.81151376471281,-0.452970477751919
9,1.7711353187787962,-0.2818246236297965,0.8389285226634519,1111.81099467921,145.3826131663543,-0.4630391568228452
10,0.614557611756726,-0.1060760196643791,-0.0561996181664447,889.512251901683,116.31438818633701,-0.4424694514380809
11,0.6571005635034788,-0.0828189472142652,-0.0618969887749826,899.9544539044284,117.67983125322094,-0.4520973808428339
12,2.8745358297868866,-1.1080708355001452,0.3917426246835777,1175.461977881518,153.70574210899372,-0.4390839034183942
13,0.6570808530599768,-0.1402603448268752,-0.0202625802607597,913.8982247356129,119.50314641248082,-0.43945041497819276
14,0.7016610589498478,-0.1274020503004816,-0.041473359026942,922.7683651479399,120.6630235844714,-0.4482800603675534
15,0.6709454509406342,-0.1804819021096544,0.015386062972894,927.6750663013655,121.30463356955454,-0.4331589185844622
16,2.8346645804138215,-0.3515631386925318,0.637426387498996,1170.0049721141445,152.9921731999603,-0.47859636925614757
17,0.6187386977671704,-0.1364966801544401,-0.0293458083014891,899.6065146533548,117.63433402591674,-0.4362172210658016
18,0.7287359578267699,0.681864201180405,1.1403494006775932,224.5335539351818,29.360453324212564,-0.3443503899039958
19,1.0082406734166491,1.233302373711866,1.0548160649362397,-461.2922012008325,-60.319484125255116,-0.3629206764541237
20,0.6567597840623789,-0.1761705662977714,-0.0321879087470622,915.4282668226034,119.70321775367614,-0.4370432753170084
21,2.6552102456119013,0.0294885093451759,0.6857373708734866,1146.7764852373573,149.95477013576226,-0.4660867238796279
22,1.3407148316913502,0.9888972280572178,1.0593176520361351,453.76603047745067,59.33534709824446,-0.3460747146524723
23,1.872414182157477,0.0694984274211797,0.724944921694517,1086.4079153376317,142.0608560738042,-0.4270854661419258
24,0.7187367318993146,-0.1295156008150979,-0.0108957306967225,932.9503241130678,121.99443675504362,-0.4463240877891871
25,0.6900163308668806,-0.1292343098357835,-0.0412209237522633,919.4342302729023,120.22704548828258,-0.4467719336427363
26,2.899222663022996,-0.9214281321832204,0.5096799161050634,1175.4463837142139,153.7037029847148,-0.45068256243930344
27,2.3920744889252012,-0.1639860868947909,0.3354604635079702,1156.6470401146203,151.24546348951208,-0.48562944741923897
28,2.5162266929928907,0.187738546168615,0.8418605914341533,1036.8515298727903,135.58076471615706,-0.34387301482047417
29,0.6574052121701671,0.576438065610729,1.1214753137372375,320.3863378005563,41.89435365826949,-0.34676819272520765
30,1.3888915137701214,0.0214496412092461,1.060295766050695,1021.0638005909673,133.51632988870995,-0.4235526436883022
31,0.7557557721571533,-0.2163839166318013,-0.0228446011615617,948.8653633886115,124.07551889004382,-0.4433122949060919
