beta_rate_gap,beta_burnout,beta_friction,trapped_b,share_pct,cpr_r_lag0,peak_lag,n_strata,replicate,runtime_s
0.6733519352905115,-0.13009048732147674,-0.037066025306261775,915.067027857209,119.65598142932075,-0.4443709072594436,0,297,real,
-0.8809541644341972,-0.7569850197172296,-0.24803928461645505,1263.0892035665966,165.16405212353925,-0.18206520352760494,3,297,0,8.2
-0.13924209236904733,-0.756985287587711,-0.24803937238886908,1253.0112401766526,163.84623762086144,-0.3324915286981351,0,297,1,8.0
-0.3237775802245165,-0.7569852572681812,-0.24803936245414873,1255.6960584853557,164.19730979361753,0.04766202411971185,2,297,2,7.7
0.6942499413042016,-0.1300904873215998,-0.037066025306196314,945.8210659194192,123.67744050851586,-0.44443250988713606,0,297,3,7.7
0.6972348075768782,-0.13009048732163664,-0.03706602530617467,947.3880548480736,123.88234309208515,-0.4447059691117995,0,297,4,7.7
-0.8960354028198093,-0.7569850102341515,-0.24803928150915985,1263.4375545509963,165.20960318991067,-0.1135458160719338,-1,297,5,7.1
0.3138766960178231,-0.7569852594703032,-0.24803936317571218,1245.7895269888277,162.90191206570103,-0.1920153137000297,-3,297,6,8.2
-0.23536102961338298,-0.7569852747289525,-0.24803936817547356,1254.0722501405012,163.9849773903709,-0.1055224295975139,3,297,7,11.0
0.6970487264977299,-0.13009048732156772,-0.03706602530617416,949.8002345006475,124.19776449284139,-0.44445668236737756,0,297,8,8.3
0.699759401130389,-0.13009048732158623,-0.0370660253061668,961.6780366678936,125.75092948762135,-0.444474340516507,0,297,9,8.0
0.6962920019271729,-0.13009048732209186,-0.03706602530608504,943.4217480714932,123.3637009428725,-0.44445532742309596,0,297,10,8.1
0.6931051238644064,-0.1300904873215998,-0.03706602530618359,962.9924228458839,125.92280123397073,-0.4444743142210697,0,297,11,8.2
0.11311428759921174,-0.7569852898028617,-0.24803937311470164,1247.630117703323,163.14259136202358,-0.03034727060467151,1,297,12,8.0
0.6934141736683785,-0.1300904873215934,-0.03706602530618357,951.7180439188725,124.44854106018144,-0.44443301852324324,0,297,13,7.8
0.7524409465094338,-0.7569850939949279,-0.24803930895483245,1237.9403874459133,161.8755429945933,-0.07706243183170097,-1,297,14,8.1
0.762633957321384,-0.7569850887456869,-0.24803930723482753,1235.4783616699099,161.55360361576788,-0.12030691780681099,3,297,15,8.1
0.2680346160694537,-0.7569852689089782,-0.24803936626845796,1246.1853647092837,162.95367259196414,-0.033749875397964965,-1,297,16,8.4
0.6981316512758159,-0.13009048732158038,-0.037066025306191686,937.4262371065645,122.57971602500402,-0.44310215708064915,0,297,17,7.9
0.8849188589411636,-0.7569850172396251,-0.2480392838046249,1235.323903760447,161.5334063928501,0.1730050776603895,-2,297,18,8.1
0.6997759652471058,-0.1300904873216442,-0.03706602530620205,949.8321645993793,124.20193973594881,-0.4444366318027441,0,297,19,8.5
0.7113358955167239,-0.75698511632475,-0.24803931627158637,1238.1858765283775,161.9076436344352,-0.15581820417031844,-1,297,20,8.1
0.09763360536542207,-0.7569852974729111,-0.24803937562792652,1249.201678020231,163.34809170939738,0.08111271876888523,-1,297,21,8.7
0.6662529773352454,-0.7569851372797546,-0.24803932313785745,1238.125301451032,161.89972271704963,-0.22888606534864678,-3,297,22,8.1
0.6996773021469272,-0.13009048732161793,-0.037066025306141795,942.7085334914534,123.27043958829806,-0.44443472572623016,0,297,23,7.7
-0.13178291993349694,-0.7569852881850543,-0.24803937258459896,1250.685308158346,163.5420941320068,-0.015098856741169717,-1,297,24,9.7
0.08838202017136923,-0.7569852915666452,-0.24803937369263593,1242.3656846031006,162.45420363730008,0.011795201021592433,2,297,25,8.9
0.15723349992574437,-0.7569852855822855,-0.24803937173175658,1246.4964517860465,162.9943509557854,-0.09514455881501892,3,297,26,8.5
0.5617863020471904,-0.7569851826549154,-0.24803933800581673,1241.449289894348,162.33437404568076,-0.06578785902809522,1,297,27,7.9
0.6959978927708181,-0.13009048732160244,-0.03706602530618816,941.5052680028433,123.1130982039223,-0.4443949394217118,0,297,28,8.7
-0.6329422662126832,-0.7569851525751378,-0.24803932814965535,1258.8896590027266,164.6149113381667,0.05877619070668871,2,297,29,8.0
0.6917006589472104,-0.13009048732160977,-0.03706602530618486,936.421940416051,122.44839219572015,-0.44439079635737233,0,297,30,7.7
-0.4440477837000284,-0.7569852354597115,-0.248039355308225,1256.4393793165602,164.29450790137025,0.2096419163285249,1,297,31,8.3
0.6939533248119291,-0.13009048701057643,-0.037066025214905395,945.3352201069655,123.61391034543195,-0.44443950770379825,0,297,32,7.6
-0.30737620539526544,-0.7569852608987528,-0.24803936364376855,1254.4640333154623,164.03620773621478,-0.047461137147454875,-1,297,33,8.1
1.1085565555520192,-0.7569848594899695,-0.24803923211521134,1232.1783229339194,161.1220839984188,-0.242964362524891,-1,297,34,8.1
0.6880973734228701,-0.13009048732159093,-0.037066025306186884,954.4122999996412,124.80084733475154,-0.4408670951955517,0,297,35,7.9
0.6998158205026654,-0.13009048732158754,-0.03706602530619214,951.6094541357191,124.43434164453117,-0.44444238561049476,0,297,36,9.0
-0.4238602772684707,-0.7569852309753424,-0.2480393538388436,1257.291474366281,164.4059295419075,0.0931638343942597,-2,297,37,8.0
1.0533565929639213,-0.7569849017200265,-0.24803924595262275,1232.7622685715057,161.19844188941434,-0.30860199612867106,0,297,38,7.7
1.4434489260267056,-0.7569845570750247,-0.2480391330237041,1224.9889486007914,160.18198713610735,-0.08901605421612102,3,297,39,8.6
-0.24061709055460626,-0.7569852738445654,-0.24803936788568878,1254.133486333956,163.99298475661158,-0.12783864132064712,-3,297,40,8.0
-0.3202039070662411,-0.7569852580501438,-0.24803936271037233,1256.608816114905,164.3166637935388,0.011575673854763479,-1,297,41,7.7
0.3903169550863577,-0.756985240425834,-0.24803935693546122,1243.6469472333968,162.62174408278614,-0.2794642608617209,-3,297,42,8.7
-0.6306242637856535,-0.7569851544903736,-0.2480393287772156,1259.2997053880133,164.66852981765442,-0.3460951729676415,0,297,43,8.1
0.691665918541113,-0.1300904873216201,-0.03706602530617692,956.4246794844047,125.06399007176117,-0.44445759704058657,0,297,44,7.6
0.29531751413775603,-0.7569852634757822,-0.24803936448817693,1245.2739601895055,162.83449552736315,-0.0585961908969082,-1,297,45,8.2
0.04960048925972698,-0.7569852934666609,-0.24803937431520906,1248.6642988760532,163.27782294553776,-0.1708461658449681,2,297,46,7.9
0.6960064716799998,-0.13009048732162715,-0.03706602530620485,960.2909037867021,125.56954523792268,-0.44446944470069083,0,297,47,7.6
-0.1445340786586471,-0.7569852869383217,-0.24803937217608538,1253.8853832099128,163.9605422995026,-0.06652342795602888,2,297,48,8.7
0.6922758097133508,-0.13009048732162995,-0.0370660253061772,935.7816193615698,122.36466254327793,-0.44437744829465237,0,297,49,7.7
