leg,convention,irls_prestep,start_id,kind,sigma_rung,seed,converged,optimizer_converged,objective_finite,irls_converged,irls_iterations,eta_max,eta_min,max_abs_macro,failure,fit_error,optimizer_warning,fit_method,rate_gap_bps,burnout_orth,friction,penalized_objective,on_production_branch,l2_distance_to_production,l2_macro_distance_to_production
prod_warm,ddof0,True,0,warm_production,,,True,False,True,False,,5.795670004747393,-4868348.171614113,2.461329910512011,,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')",overflow encountered in exp; invalid value encountered in divide; invalid value encountered in multiply; divide by zero encountered in divide; invalid value encountered in multiply; divide by zero encountered in log; invalid value encountered in multiply; divide by zero encountered in divide; overflow encountered in divide; invalid value encountered in divide; divide by zero encountered in log; in,"ridge(alpha=0.0001, warm_start)",2.461329910512011,-0.19283775376907647,0.6794048232026807,20382293849144.7,False,1034.235712482083,1.9401248589832618
prod_warm,ddof0,True,1,cold,,,True,False,True,,,22.271552736550717,-27.67655165339363,0.6468566611612588,,,"GLM ridge optimization may have failed, |grad|=0.178197",ridge(alpha=0.0001),0.6468566611612588,-0.17126111626112517,-0.007112288418868083,1920053.7607715488,True,0.0,0.0
prod_warm,ddof0,True,2,dispersed,0.25,1000.0,True,False,True,False,,650.1119082337701,-4.428434849895014,0.5048689608754784,,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')","divide by zero encountered in divide; overflow encountered in divide; GLM ridge optimization may have failed, |grad|=nan","ridge(alpha=0.0001, warm_start)",0.5048689608754784,-0.09479072139125821,0.0426645702942584,2.1499941011440256e+278,False,0.434101267803986,0.16877785396000433
prod_warm,ddof0,True,3,dispersed,0.25,1001.0,False,False,False,False,,5729913.8134865165,8.926502364043998,0.41121455890513287,objective: exp overflow: max eta 5.73e+06 > 700,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')",overflow encountered in exp; divide by zero encountered in divide; invalid value encountered in divide; invalid value encountered in multiply; divide by zero encountered in divide; invalid value encountered in multiply; overflow encountered in exp; invalid value encountered in multiply; invalid value encountered in subtract; overflow encountered in exp; overflow encountered in divide; invalid valu,"ridge(alpha=0.0001, warm_start)",0.41121455890513287,-0.11639690172878919,-0.21775051189243347,,False,1034.2041539163965,0.320789251035686
prod_warm,ddof0,True,4,dispersed,0.25,1002.0,True,False,True,False,,20.608098348022956,-5729944.01268614,1.057330983745167,,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')",overflow encountered in exp; overflow encountered in multiply; invalid value encountered in multiply; divide by zero encountered in divide; invalid value encountered in multiply; divide by zero encountered in log; invalid value encountered in multiply; divide by zero encountered in divide; overflow encountered in divide; invalid value encountered in divide; divide by zero encountered in log; inval,"ridge(alpha=0.0001, warm_start)",1.057330983745167,-0.2329042396088312,0.15869740081786785,19755904185639.633,False,1034.2021452612262,0.44696968264252745
prod_warm,ddof0,True,5,dispersed,0.25,1003.0,False,False,False,False,,5729771.293196176,7.1230150083235015,0.5370222453333842,objective: exp overflow: max eta 5.73e+06 > 700,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')",overflow encountered in exp; divide by zero encountered in divide; invalid value encountered in divide; invalid value encountered in multiply; divide by zero encountered in divide; invalid value encountered in multiply; overflow encountered in exp; invalid value encountered in multiply; invalid value encountered in subtract; overflow encountered in exp; overflow encountered in divide; invalid valu,"ridge(alpha=0.0001, warm_start)",0.5370222453333842,-0.11983107534719376,-0.20127631980693145,,False,1034.176453680083,0.2289286331884328
prod_warm,ddof0,True,6,dispersed,0.25,1004.0,True,False,True,False,,20.17404637838026,-5730331.973505302,1.0285785189087748,,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')",divide by zero encountered in divide; overflow encountered in divide; invalid value encountered in divide; divide by zero encountered in divide; divide by zero encountered in log; invalid value encountered in multiply; divide by zero encountered in divide; overflow encountered in divide; invalid value encountered in divide; divide by zero encountered in log; invalid value encountered in multiply; ,"ridge(alpha=0.0001, warm_start)",1.0285785189087748,-0.6113161425934216,0.21034499957307007,19692375073003.64,False,1034.2060814397962,0.6218099991020903
prod_warm,ddof0,True,7,dispersed,0.25,1005.0,False,False,False,False,,5729508.903651745,6.6002091620788725,0.15108595804906427,objective: exp overflow: max eta 5.73e+06 > 700,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')",overflow encountered in exp; divide by zero encountered in divide; invalid value encountered in divide; invalid value encountered in multiply; divide by zero encountered in divide; invalid value encountered in multiply; overflow encountered in exp; invalid value encountered in multiply; invalid value encountered in subtract; overflow encountered in exp; overflow encountered in divide; invalid valu,"ridge(alpha=0.0001, warm_start)",0.10081312497610384,-0.14515168529707428,-0.15108595804906427,,False,1034.2272967474948,0.5653084674243258
prod_warm,ddof0,True,8,dispersed,0.25,1006.0,True,False,True,False,,532.18839031587,-3.7167856378119937,0.5864600484764247,,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')","divide by zero encountered in divide; overflow encountered in divide; GLM ridge optimization may have failed, |grad|=nan","ridge(alpha=0.0001, warm_start)",0.5864600484764247,-0.10004256989114571,0.06253727020394143,1.3149345888122734e+227,False,1.1747734866480892,0.11649417662358473
prod_warm,ddof0,True,9,dispersed,0.25,1007.0,True,False,True,False,,19.170401975916235,-5730306.476379613,0.6207536232654401,,"IRLS prestep raised: ValueError('NaN, inf or invalid value detected in weights, estimation infeasible.')",overflow encountered in exp; divide by zero encountered in divide; invalid value encountered in divide; invalid value encountered in multiply; divide by zero encountered in divide; invalid value encountered in multiply; divide by zero encountered in log; invalid value encountered in multiply; divide by zero encountered in divide; overflow encountered in divide; invalid value encountered in divide;,"ridge(alpha=0.0001, warm_start)",0.6207536232654401,-0.5168094309147149,0.1695510802692634,19707024770716.145,False,1034.206145605935,0.3889665180752264
