rate_gap_bps,burnout_orth,friction
1.2328688115681583,0.4518250213945685,1.2876246187183733
3.564136593460526,-0.769262816997725,0.4112994937967284
2.6075682202278725,-1.0259602035285944,0.640821037919885
0.7277954374310508,0.978520163058219,1.3622737446524498
3.708673131517909,-1.7563644655394979,-0.01845589398343064
0.5792550469456008,-0.15801019641498246,-0.023555563737189637
2.0515486727775794,-0.18780932745015533,0.7808440947761793
2.402149281740045,-0.02151006413783931,0.36152490738948967
0.7173318783649949,-0.11480244193064043,-0.05535193210334517
1.7711353187787962,-0.2818246236297965,0.8389285226634519
0.614557611756726,-0.10607601966437911,-0.056199618166444754
0.6571005635034788,-0.08281894721426526,-0.06189698877498262
2.8745358297868866,-1.1080708355001452,0.39174262468357773
0.6570808530599768,-0.1402603448268752,-0.02026258026075972
0.7016610589498478,-0.12740205030048168,-0.04147335902694207
0.6709454509406342,-0.18048190210965442,0.015386062972894002
2.8346645804138215,-0.3515631386925318,0.637426387498996
0.6187386977671704,-0.13649668015444016,-0.02934580830148914
0.7287359578267699,0.681864201180405,1.1403494006775932
1.0082406734166491,1.233302373711866,1.0548160649362397
0.6567597840623789,-0.17617056629777145,-0.03218790874706227
2.6552102456119013,0.029488509345175915,0.6857373708734866
1.3407148316913502,0.9888972280572178,1.0593176520361351
1.872414182157477,0.06949842742117979,0.724944921694517
0.7187367318993146,-0.12951560081509794,-0.010895730696722561
0.6900163308668806,-0.1292343098357835,-0.04122092375226334
2.899222663022996,-0.9214281321832203,0.5096799161050634
2.3920744889252012,-0.16398608689479097,0.33546046350797026
2.5162266929928907,0.187738546168615,0.8418605914341533
0.6574052121701671,0.576438065610729,1.1214753137372377
1.3888915137701214,0.021449641209246147,1.060295766050695
0.7557557721571533,-0.21638391663180137,-0.022844601161561767
2.912958518249119,-0.7153060145954623,0.09945571606288169
1.341992624076318,1.107628568471859,1.2175458966051047
0.7164939742493716,0.9222600390085832,1.4196419976816115
0.7029225152591868,-0.11333521894083463,-0.06071324619513278
2.861461202044352,0.5540043209043314,0.7440683041612745
5.059314282225213,-2.6208700684459294,-0.19098008913876283
-2.9894560871417064,15.70213661539543,1.2052673397669915
