,MORTGAGE30US,Dynamic_Friction,Empirical_CPR_Pct,US_CPR_Pct,Danish_CPR_Pct,Extension_Delta_Billions,US_Missed_Rolloff_Billions,Danish_Missed_Rolloff_Billions,Actual_Monthly_Rolloff_Billions,QT_Target_Billions
2022-06-30,5.462,0.09964591640649507,0.0,14.62029045369813,3.315906425823265,19.487287718399784,-26.975625438223005,7.862235119579317,1.9872877183997844,-17.5
2022-07-31,5.4625,0.09686445458773374,0.7496913287446632,14.930485249712934,3.315925925823265,25.591318853800658,-22.887425845568558,3.748609408697563,8.091318853800658,-17.5
2022-08-31,5.231111111111111,0.09443640145609229,0.7266217389882389,21.051324126874665,3.3069017591565997,9.454583468799683,-23.821613206910023,3.787388444953935,-8.045416531200317,-17.5
2022-09-30,6.046666666666667,0.0941251929540973,2.0653978379786593,12.031779196547147,3.338708425823266,23.947047029700116,-12.775260488707424,21.327291723223507,-11.052952970299884,-35.0
2022-10-31,6.8525,0.09297458969734236,5.913070408858921,8.552295675921245,3.3701359258232664,15.408688090199576,-3.874278310228121,21.267056632265728,-19.591311909800424,-35.0
2022-11-30,6.8637500000000005,0.09463446031944225,6.026558705571685,9.594570635681155,3.3705746758232666,15.271343452600377,6.720660377228093,21.130249929048407,-19.728656547399623,-35.0
2022-12-31,6.357777777777778,0.09471741975166133,4.980772247555421,12.775022954948037,3.350841759156599,17.671566635300223,6.945923756043779,20.967278712292526,-17.328433364699777,-35.0
2023-01-31,6.30875,0.09367743226857606,4.699653853229359,13.181019425419445,3.3489296758232663,18.365231404199676,1.6418226032493521,20.56563329658517,-16.634768595800324,-35.0
2023-02-28,6.21125,0.09356372961565405,0.0,13.805186901260239,3.345127175823266,30.515236293300404,-2.1840223704422073,19.426518071885265,-4.484763706699596,-35.0
2023-03-31,6.562,0.09641007784817755,8.972844995619846,11.45881829019144,3.358806425823266,9.256874014099594,-3.1982134267566877,18.951028744545976,-25.743125985900406,-35.0
2023-04-30,6.328749999999999,0.09554767944375844,5.753627854993539,12.878792131570902,3.3497096758232656,16.32168943070019,-0.6241702486112004,19.01003527339489,-18.67831056929981,-35.0
2023-05-31,6.4255555555555555,0.09743870276914068,5.256777475961499,12.12240155057596,3.3534850924899327,17.477291229100047,-0.514351005109809,19.08408917353362,-17.522708770899953,-35.0
2023-06-30,6.714444444444444,0.09408713789289852,6.521799648752788,10.906061974046397,3.364751759156599,14.908458292699834,0.014767175134686283,19.15444919197052,-20.091541707300166,-35.0
2023-07-31,6.8275,0.08966379331003417,6.810906315060842,10.684767219081769,3.3691609258232664,14.433981479900012,2.3219251379333556,19.208393240228755,-20.566018520099988,-35.0
2023-08-31,7.034999999999999,0.09018061477779023,5.9646772357521245,9.650352808178994,3.377253425823267,16.31795469669987,3.8170536413320555,19.265471706397967,-18.68204530330013,-35.0
2023-09-30,7.18375,0.09020972159047644,6.220463058458943,9.05009499818313,3.383054675823266,15.901604143600252,5.58065898065124,19.322707686245273,-19.098395856399748,-35.0
2023-10-31,7.5600000000000005,0.09136943505219332,5.143260379408706,7.522180730069855,3.3977284258232654,18.211046696500034,7.474549324379801,19.37864111387801,-16.788953303499966,-35.0
2023-11-30,7.5055555555555555,0.09220906200858736,4.721688171178697,7.659574286724938,3.395605092489932,19.147868290899623,9.862730312623057,19.428510339929478,-15.852131709100377,-35.0
2023-12-31,6.89125,0.08898290246215315,4.443364423736387,10.411346364493742,3.3716471758232665,19.77963139450003,10.211009639205376,19.497931821576053,-15.22036860549997,-35.0
2024-01-31,6.638888888888889,0.08547871774203424,4.169859265536435,11.994460060934653,3.3618050924899325,20.39082697380036,6.588412052824971,19.60279199345273,-14.609173026199642,-35.0
2024-02-29,6.757777777777778,0.08654894175532624,3.8479205235926606,11.274974300217032,3.3664417591565994,21.088398402499934,3.3152512042623066,19.726676926856072,-13.911601597500066,-35.0
2024-03-31,6.83875,0.0845894748834425,4.313704366649248,10.991322383282668,3.3695996758232662,20.215591540699734,3.564007075427398,19.92459439664785,-14.784408459300266,-35.0
2024-04-30,6.945,0.08475888741867722,0.0,10.403720222711511,3.373743425823267,31.296821715499846,4.768736276667575,20.156050631671075,-3.7031782845001544,-35.0
2024-05-31,7.074,0.08755014294569353,12.169891675788158,9.643469370869475,3.378774425823267,4.946581949300253,5.955952829431155,20.290451123063637,-30.053418050699747,-35.0
2024-06-30,6.938750000000001,0.0867689295304314,6.408277953638815,10.30903435651167,3.373499675823267,16.368919224099955,7.285465295020941,20.338129803859076,-18.631080775900045,-35.0
2024-07-31,6.8475,0.08663309705477004,6.032012838742307,10.79697856172317,3.3699409258232667,17.206204580800204,7.066981543243539,20.383590479787532,-17.793795419199796,-35.0
2024-08-31,6.516666666666667,0.08529290000486482,6.396170821639104,12.666941235961902,3.3570384258232653,16.617810441299753,5.988640857764487,20.506546610734215,-18.382189558700247,-35.0
2024-09-30,6.21375,0.08352529542622887,6.098025073195834,14.87739879113167,3.345224675823266,17.29472891739988,3.3781645854630256,20.63613511577119,-17.70527108260012,-35.0
2024-10-31,6.364,0.08292614223148888,5.300509430148579,13.91232235896706,3.351084425823266,18.893921651500023,0.1764040888113385,20.71922882050138,-16.106078348499977,-35.0
2024-11-30,6.7871428571428565,0.08231826380695836,5.793686415052186,11.456610737051118,3.3675869972518377,18.058483553400492,0.720750820522909,20.807309745685775,-16.941516446599508,-35.0
2024-12-31,6.71,0.08312507240750681,5.13135614918229,11.81210172624122,3.364578425823266,19.29214166499969,4.247907635099665,20.929241406546527,-15.70785833500031,-35.0
2025-01-31,6.948,0.08526840616992166,5.2058282551993145,10.352741611857079,3.373860425823267,19.31781767350003,5.70491609188668,21.07793851044452,-15.68218232649997,-35.0
2025-02-28,6.86625,0.08833354274192129,4.458927360506305,10.58213483373156,3.3706721758232665,20.75785301160022,7.420863171513965,21.247232677031953,-14.242146988399782,-35.0
2025-03-31,6.66375,0.09112906551740914,4.523637928809307,11.385169630955936,3.3627746758232657,20.700089008399573,8.05673054491119,21.330714105335232,-14.299910991600427,-35.0
2025-04-30,6.716666666666667,0.09055710812062097,5.51782729663115,11.168230994450202,3.364838425823266,18.97239728160048,7.0978260884503115,21.258133820052446,-16.02760271839952,-35.0
2025-05-31,6.807777777777777,0.08874566823543324,5.983109148996725,10.850687458297458,3.3683917591565997,18.22780627029988,7.003040263350275,21.201273376549135,-16.77219372970012,-35.0
2025-06-30,6.831428571428572,0.08480152083100213,6.522547425742334,11.013907988141199,3.3693141401089806,17.371467653400032,7.855624301029813,21.496859688069993,-17.628532346599968,-35.0
2025-07-31,6.725,0.08382380512308932,6.6887106150260625,11.671199993710312,3.3651634258232663,17.192267826199895,8.113362213541237,21.742895419157595,-17.807732173800105,-35.0
2025-08-31,6.6075,0.0856705881051138,6.756808367552375,12.145133077582155,3.3605809258232657,17.190086190300008,7.362321593878164,21.724829336613976,-17.809913809699992,-35.0
2025-09-30,6.385,0.08717990436741915,0.0,13.334022920524276,3.351903425823266,31.371683817999838,6.404760544521217,21.702784344622145,-3.6283161820001624,-35.0
2025-10-31,6.267,0.08724289204961484,13.497501108600144,14.112685548103729,3.3473014258232663,5.776049021700146,4.88660259483736,21.772761797683106,-29.223950978299854,-35.0
2025-11-30,6.225714285714285,0.08789321900384164,6.042596946771408,14.316369287624923,3.3456912829661234,18.73160223740001,3.807811000372034,21.96160652547745,-16.26839776259999,-35.0
