,MORTGAGE30US,Dynamic_Friction,Empirical_CPR_Pct,US_CPR_Pct,Danish_CPR_Pct,Extension_Delta_Billions,US_Missed_Rolloff_Billions,Danish_Missed_Rolloff_Billions,Actual_Monthly_Rolloff_Billions,QT_Target_Billions
2022-06-30,5.462,0.09964591640649507,0.0,14.62029045369813,34.06917667626862,19.487287718399784,-26.975625438223005,-40.649877097376134,1.9872877183997844,-17.5
2022-07-31,5.4625,0.09686445458773374,0.7496913287446632,14.930485249712934,34.79019517820917,25.591318853800658,-22.887425845568558,-63.84795821975881,8.091318853800658,-17.5
2022-08-31,5.231111111111111,0.09443640145609229,0.7266217389882389,21.051324126874665,44.749383289052396,9.454583468799683,-23.821613206910023,-64.164407098722,-8.045416531200317,-17.5
2022-09-30,6.046666666666667,0.0941251929540973,2.0653978379786593,12.031779196547147,35.73190022690895,23.947047029700116,-12.775260488707424,-54.91926600941278,-11.052952970299884,-35.0
2022-10-31,6.8525,0.09297458969734236,5.913070408858921,8.552295675921245,35.78020603026185,15.408688090199576,-3.874278310228121,-47.08826832718886,-19.591311909800424,-35.0
2022-11-30,6.8637500000000005,0.09463446031944225,6.026558705571685,9.594570635681155,40.336659995355014,15.271343452600377,6.720660377228093,-39.836399043713826,-19.728656547399623,-35.0
2022-12-31,6.357777777777778,0.09471741975166133,4.980772247555421,12.775022954948037,43.2272585102047,17.671566635300223,6.945923756043779,-43.046664416719324,-17.328433364699777,-35.0
2023-01-31,6.30875,0.09367743226857606,4.699653853229359,13.181019425419445,43.69530802858302,18.365231404199676,1.6418226032493521,-46.26617369716534,-16.634768595800324,-35.0
2023-02-28,6.21125,0.09356372961565405,0.0,13.805186901260239,43.86543104882506,30.515236293300404,-2.1840223704422073,-46.100593084593285,-4.484763706699596,-35.0
2023-03-31,6.562,0.09641007784817755,8.972844995619846,11.45881829019144,42.38714268524955,9.256874014099594,-3.1982134267566877,-43.43586401750099,-25.743125985900406,-35.0
2023-04-30,6.328749999999999,0.09554767944375844,5.753627854993539,12.878792131570902,42.96826196967151,16.32168943070019,-0.6241702486112004,-39.03218038976364,-18.67831056929981,-35.0
2023-05-31,6.4255555555555555,0.09743870276914068,5.256777475961499,12.12240155057596,42.20220455582958,17.477291229100047,-0.514351005109809,-35.79956457453022,-17.522708770899953,-35.0
2023-06-30,6.714444444444444,0.09408713789289852,6.521799648752788,10.906061974046397,43.04408114308246,14.908458292699834,0.014767175134686283,-32.70345195626257,-20.091541707300166,-35.0
2023-07-31,6.8275,0.08966379331003417,6.810906315060842,10.684767219081769,44.54908504989957,14.433981479900012,2.3219251379333556,-30.572939781463887,-20.566018520099988,-35.0
2023-08-31,7.034999999999999,0.09018061477779023,5.9646772357521245,9.650352808178994,44.073364457637524,16.31795469669987,3.8170536413320555,-29.416858039266756,-18.68204530330013,-35.0
2023-09-30,7.18375,0.09020972159047644,6.220463058458943,9.05009499818313,43.8838258017942,15.901604143600252,5.58065898065124,-26.980219261460007,-19.098395856399748,-35.0
2023-10-31,7.5600000000000005,0.09136943505219332,5.143260379408706,7.522180730069855,43.045508024152284,18.211046696500034,7.474549324379801,-24.00749372782147,-16.788953303499966,-35.0
2023-11-30,7.5055555555555555,0.09220906200858736,4.721688171178697,7.659574286724938,42.818338243993416,19.147868290899623,9.862730312623057,-20.906066867354753,-15.852131709100377,-35.0
2023-12-31,6.89125,0.08898290246215315,4.443364423736387,10.411346364493742,44.72608345942552,19.77963139450003,10.211009639205376,-18.416555823684604,-15.22036860549997,-35.0
2024-01-31,6.638888888888889,0.08547871774203424,4.169859265536435,11.994460060934653,46.43242899158369,20.39082697380036,6.588412052824971,-17.633974909232606,-14.609173026199642,-35.0
2024-02-29,6.757777777777778,0.08654894175532624,3.8479205235926606,11.274974300217032,45.85510366329435,21.088398402499934,3.3152512042623066,-17.091779982031888,-13.911601597500066,-35.0
2024-03-31,6.83875,0.0845894748834425,4.313704366649248,10.991322383282668,46.522995076585126,20.215591540699734,3.564007075427398,-15.071953485759458,-14.784408459300266,-35.0
2024-04-30,6.945,0.08475888741867722,0.0,10.403720222711511,46.30576499832918,31.296821715499846,4.768736276667575,-13.040260593466755,-3.7031782845001544,-35.0
2024-05-31,7.074,0.08755014294569353,12.169891675788158,9.643469370869475,45.04486244640424,4.946581949300253,5.955952829431155,-10.915176200119909,-30.053418050699747,-35.0
2024-06-30,6.938750000000001,0.0867689295304314,6.408277953638815,10.30903435651167,45.52255472180833,16.368919224099955,7.285465295020941,-8.300063159961695,-18.631080775900045,-35.0
2024-07-31,6.8475,0.08663309705477004,6.032012838742307,10.79697856172317,45.699964846224916,17.206204580800204,7.066981543243539,-6.4391053109213985,-17.793795419199796,-35.0
2024-08-31,6.516666666666667,0.08529290000486482,6.396170821639104,12.666941235961902,46.670553004376764,16.617810441299753,5.988640857764487,-4.987331607704782,-18.382189558700247,-35.0
2024-09-30,6.21375,0.08352529542622887,6.098025073195834,14.87739879113167,47.86272300684377,17.29472891739988,3.3781645854630256,-3.8972870581515906,-17.70527108260012,-35.0
2024-10-31,6.364,0.08292614223148888,5.300509430148579,13.91232235896706,47.904633473919574,18.893921651500023,0.1764040888113385,-3.0270142007607888,-16.106078348499977,-35.0
2024-11-30,6.7871428571428565,0.08231826380695836,5.793686415052186,11.456610737051118,47.569341925760966,18.058483553400492,0.720750820522909,-1.6259400508618924,-16.941516446599508,-35.0
2024-12-31,6.71,0.08312507240750681,5.13135614918229,11.81210172624122,47.32921784124586,19.29214166499969,4.247907635099665,0.17088646307940536,-15.70785833500031,-35.0
2025-01-31,6.948,0.08526840616992166,5.2058282551993145,10.352741611857079,46.09408416612574,19.31781767350003,5.70491609188668,1.950100260143543,-15.68218232649997,-35.0
2025-02-28,6.86625,0.08833354274192129,4.458927360506305,10.58213483373156,45.013027195641946,20.75785301160022,7.420863171513965,3.9660013605924256,-14.242146988399782,-35.0
2025-03-31,6.66375,0.09112906551740914,4.523637928809307,11.385169630955936,44.218432755216746,20.700089008399573,8.05673054491119,5.908141569404748,-14.299910991600427,-35.0
2025-04-30,6.716666666666667,0.09055710812062097,5.51782729663115,11.168230994450202,44.362841518612996,18.97239728160048,7.0978260884503115,7.469396950082306,-16.02760271839952,-35.0
2025-05-31,6.807777777777777,0.08874566823543324,5.983109148996725,10.850687458297458,44.93311258945534,18.22780627029988,7.003040263350275,8.58782417018572,-16.77219372970012,-35.0
2025-06-30,6.831428571428572,0.08480152083100213,6.522547425742334,11.013907988141199,46.44196980147907,17.371467653400032,7.855624301029813,9.457237926953674,-17.628532346599968,-35.0
2025-07-31,6.725,0.08382380512308932,6.6887106150260625,11.671199993710312,47.00765133742017,17.192267826199895,8.113362213541237,9.998912280508527,-17.807732173800105,-35.0
2025-08-31,6.6075,0.0856705881051138,6.756808367552375,12.145133077582155,46.40070628971129,17.190086190300008,7.362321593878164,10.647063270851504,-17.809913809699992,-35.0
2025-09-30,6.385,0.08717990436741915,0.0,13.334022920524276,46.12404567675506,31.371683817999838,6.404760544521217,11.714472951748949,-3.6283161820001624,-35.0
2025-10-31,6.267,0.08724289204961484,13.497501108600144,14.112685548103729,46.26520676033669,5.776049021700146,4.88660259483736,12.798403553634891,-29.223950978299854,-35.0
2025-11-30,6.225714285714285,0.08789321900384164,6.042596946771408,14.316369287624923,46.0685835505506,18.73160223740001,3.807811000372034,13.728285682854178,-16.26839776259999,-35.0
