Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish
0.02,0.05,-0.01,0.4243,0.03161000000000003
0.025,0.05,-0.01,0.3013,0.03180499999999997
0.030000000000000002,0.05,-0.01,0.2046,0.03200000000000003
0.035,0.05,-0.01,0.1224,0.032194999999999974
0.04000000000000001,0.05,-0.01,0.068,0.03239000000000003
0.045000000000000005,0.05,-0.01,0.0288,0.032584999999999975
0.05,0.05,-0.01,0.012,0.03278000000000003
0.05500000000000001,0.05,-0.01,0.0036,0.03297499999999998
0.06000000000000001,0.05,-0.01,0.0009,0.03317000000000003
0.065,0.05,-0.01,0.0003,0.03336499999999998
0.07,0.05,-0.01,0.0,0.033560000000000034
0.07500000000000001,0.05,-0.01,0.0,0.03375499999999998
0.08000000000000002,0.05,-0.01,0.0,0.033950000000000036
0.02,0.05,-0.005,0.4243,0.03161000000000003
0.025,0.05,-0.005,0.3013,0.03180499999999997
0.030000000000000002,0.05,-0.005,0.2046,0.03200000000000003
0.035,0.05,-0.005,0.1224,0.032194999999999974
0.04000000000000001,0.05,-0.005,0.068,0.03239000000000003
0.045000000000000005,0.05,-0.005,0.0288,0.032584999999999975
0.05,0.05,-0.005,0.012,0.03278000000000003
0.05500000000000001,0.05,-0.005,0.0036,0.03297499999999998
0.06000000000000001,0.05,-0.005,0.0009,0.03317000000000003
0.065,0.05,-0.005,0.0003,0.03336499999999998
0.07,0.05,-0.005,0.0,0.033560000000000034
0.07500000000000001,0.05,-0.005,0.0,0.03375499999999998
0.08000000000000002,0.05,-0.005,0.0,0.033950000000000036
0.02,0.05,0.0,0.4243,0.03161000000000003
0.025,0.05,0.0,0.3013,0.03180499999999997
0.030000000000000002,0.05,0.0,0.2046,0.03200000000000003
0.035,0.05,0.0,0.1224,0.032194999999999974
0.04000000000000001,0.05,0.0,0.068,0.03239000000000003
0.045000000000000005,0.05,0.0,0.0288,0.032584999999999975
0.05,0.05,0.0,0.012,0.03278000000000003
0.05500000000000001,0.05,0.0,0.0036,0.03297499999999998
0.06000000000000001,0.05,0.0,0.0009,0.03317000000000003
0.065,0.05,0.0,0.0003,0.03336499999999998
0.07,0.05,0.0,0.0,0.033560000000000034
0.07500000000000001,0.05,0.0,0.0,0.03375499999999998
0.08000000000000002,0.05,0.0,0.0,0.033950000000000036
0.02,0.05,0.005,0.4243,0.03161000000000003
0.025,0.05,0.005,0.3013,0.03180499999999997
0.030000000000000002,0.05,0.005,0.2046,0.03200000000000003
0.035,0.05,0.005,0.1224,0.032194999999999974
0.04000000000000001,0.05,0.005,0.068,0.03239000000000003
0.045000000000000005,0.05,0.005,0.0288,0.032584999999999975
0.05,0.05,0.005,0.012,0.03278000000000003
0.05500000000000001,0.05,0.005,0.0036,0.03297499999999998
0.06000000000000001,0.05,0.005,0.0009,0.03317000000000003
0.065,0.05,0.005,0.0003,0.03336499999999998
0.07,0.05,0.005,0.0,0.033560000000000034
0.07500000000000001,0.05,0.005,0.0,0.03375499999999998
0.08000000000000002,0.05,0.005,0.0,0.033950000000000036
0.02,0.05,0.01,0.4243,0.03161000000000003
0.025,0.05,0.01,0.3013,0.03180499999999997
0.030000000000000002,0.05,0.01,0.2046,0.03200000000000003
0.035,0.05,0.01,0.1224,0.032194999999999974
0.04000000000000001,0.05,0.01,0.068,0.03239000000000003
0.045000000000000005,0.05,0.01,0.0288,0.032584999999999975
0.05,0.05,0.01,0.012,0.03278000000000003
0.05500000000000001,0.05,0.01,0.0036,0.03297499999999998
0.06000000000000001,0.05,0.01,0.0009,0.03317000000000003
0.065,0.05,0.01,0.0003,0.03336499999999998
0.07,0.05,0.01,0.0,0.033560000000000034
0.07500000000000001,0.05,0.01,0.0,0.03375499999999998
0.08000000000000002,0.05,0.01,0.0,0.033950000000000036
0.02,0.05,0.015,0.4243,0.03161000000000003
0.025,0.05,0.015,0.3013,0.03180499999999997
0.030000000000000002,0.05,0.015,0.2046,0.03200000000000003
0.035,0.05,0.015,0.1224,0.032194999999999974
0.04000000000000001,0.05,0.015,0.068,0.03239000000000003
0.045000000000000005,0.05,0.015,0.0288,0.032584999999999975
0.05,0.05,0.015,0.012,0.03278000000000003
0.05500000000000001,0.05,0.015,0.0036,0.03297499999999998
0.06000000000000001,0.05,0.015,0.0009,0.03317000000000003
0.065,0.05,0.015,0.0003,0.03336499999999998
0.07,0.05,0.015,0.0,0.033560000000000034
0.07500000000000001,0.05,0.015,0.0,0.03375499999999998
0.08000000000000002,0.05,0.015,0.0,0.033950000000000036
0.02,0.05,0.02,0.3422,0.03161000000000003
0.025,0.05,0.02,0.2419,0.03180499999999997
0.030000000000000002,0.05,0.02,0.1642,0.03200000000000003
0.035,0.05,0.02,0.0979,0.032194999999999974
0.04000000000000001,0.05,0.02,0.0543,0.03239000000000003
0.045000000000000005,0.05,0.02,0.0225,0.032584999999999975
0.05,0.05,0.02,0.0086,0.03278000000000003
0.05500000000000001,0.05,0.02,0.0025,0.03297499999999998
0.06000000000000001,0.05,0.02,0.0005,0.03317000000000003
0.065,0.05,0.02,0.0,0.03336499999999998
0.07,0.05,0.02,0.0,0.033560000000000034
0.07500000000000001,0.05,0.02,0.0,0.03375499999999998
0.08000000000000002,0.05,0.02,0.0,0.033950000000000036
0.02,0.05,0.025,0.3422,0.03161000000000003
0.025,0.05,0.025,0.2419,0.03180499999999997
0.030000000000000002,0.05,0.025,0.1642,0.03200000000000003
0.035,0.05,0.025,0.0979,0.032194999999999974
0.04000000000000001,0.05,0.025,0.0543,0.03239000000000003
0.045000000000000005,0.05,0.025,0.0225,0.032584999999999975
0.05,0.05,0.025,0.0086,0.03278000000000003
0.05500000000000001,0.05,0.025,0.0025,0.03297499999999998
0.06000000000000001,0.05,0.025,0.0005,0.03317000000000003
0.065,0.05,0.025,0.0,0.03336499999999998
0.07,0.05,0.025,0.0,0.033560000000000034
0.07500000000000001,0.05,0.025,0.0,0.03375499999999998
0.08000000000000002,0.05,0.025,0.0,0.033950000000000036
0.02,0.05,0.03,0.3422,0.03161000000000003
0.025,0.05,0.03,0.2419,0.03180499999999997
0.030000000000000002,0.05,0.03,0.1642,0.03200000000000003
0.035,0.05,0.03,0.0979,0.032194999999999974
0.04000000000000001,0.05,0.03,0.0543,0.03239000000000003
0.045000000000000005,0.05,0.03,0.0225,0.032584999999999975
0.05,0.05,0.03,0.0086,0.03278000000000003
0.05500000000000001,0.05,0.03,0.0025,0.03297499999999998
0.06000000000000001,0.05,0.03,0.0005,0.03317000000000003
0.065,0.05,0.03,0.0,0.03336499999999998
0.07,0.05,0.03,0.0,0.033560000000000034
