Market_Rate,CPR_US,CPR_Danish
0.02,0.6196,0.03200000000000003
0.025,0.5592,0.032194999999999974
0.030000000000000002,0.5029,0.03239000000000003
0.035,0.4002,0.032584999999999975
0.04000000000000001,0.3168,0.03278000000000003
0.045000000000000005,0.252,0.03297499999999998
0.05,0.1993,0.03317000000000003
0.05500000000000001,0.1554,0.03336499999999998
0.06000000000000001,0.1234,0.033560000000000034
0.065,0.097,0.03375499999999998
0.07,0.0764,0.033950000000000036
0.07500000000000001,0.0623,0.03414499999999998
0.08000000000000002,0.0483,0.03434000000000004
