Panel,Source,Empirical_Trapped_B,ABM_Trapped_US_B,CPR_R2,CPR_RMSE,CPR_R2_Smooth,Share_Explained_Pct,Ramp_Months,Full_Cap_B,QT_End,Vs_Empirical_B
B_DataSource,SOMA,764.7482532227002,101.17436325001754,-6.443036171859481,7.730924476648351,-14.464458654200284,13.229760620395275,,,,
B_DataSource,WSHOMCB,763.719,101.17436325001754,-5.249766805033061,7.851725170780202,-13.779537909115424,13.247590180422057,,,,
C_CapSchedule,,504.6150964757003,-92.85716759432138,-7.604413806541205,7.992671295946061,,-18.40158335389653,2.0,30.0,2025-06,-597.4722640700217
C_CapSchedule,,541.3689181456002,-82.78215620494673,-7.604413806541205,7.992671295946061,,-15.291265056092973,2.0,30.0,2025-09,-624.151074350547
C_CapSchedule,,582.2482532227002,-81.32563674998246,-7.604413806541205,7.992671295946061,,-13.96751923253547,2.0,30.0,2025-12,-663.5738899726827
C_CapSchedule,,674.6150964757003,77.14283240567862,-7.604413806541205,7.992671295946061,,11.43508836500775,2.0,35.0,2025-06,-597.4722640700217
C_CapSchedule,,726.3689181456002,102.21784379505327,-7.604413806541205,7.992671295946061,,14.072441873753712,2.0,35.0,2025-09,-624.151074350547
C_CapSchedule,,782.2482532227002,118.67436325001754,-7.604413806541205,7.992671295946061,,15.170933621277365,2.0,35.0,2025-12,-663.5738899726827
C_CapSchedule,,492.1150964757003,-105.35716759432138,-7.604413806541205,7.992671295946061,,-21.409050108163814,3.0,30.0,2025-06,-597.4722640700217
C_CapSchedule,,528.8689181456002,-95.28215620494673,-7.604413806541205,7.992671295946061,,-18.016214025025214,3.0,30.0,2025-09,-624.151074350547
C_CapSchedule,,569.7482532227002,-93.82563674998245,-7.604413806541205,7.992671295946061,,-16.46791126067891,3.0,30.0,2025-12,-663.5738899726827
C_CapSchedule,,657.1150964757003,59.64283240567862,-7.604413806541205,7.992671295946061,,9.076466622903736,3.0,35.0,2025-06,-597.4722640700217
C_CapSchedule,,708.8689181456002,84.71784379505327,-7.604413806541205,7.992671295946061,,11.951129697811409,3.0,35.0,2025-09,-624.151074350547
C_CapSchedule,,764.7482532227002,101.17436325001754,-7.604413806541205,7.992671295946061,,13.229760620395275,3.0,35.0,2025-12,-663.5738899726827
C_CapSchedule,,479.6150964757003,-117.8571675943214,-7.604413806541205,7.992671295946061,,-24.573281462647337,4.0,30.0,2025-06,-597.4722640700217
C_CapSchedule,,516.3689181456002,-107.78215620494674,-7.604413806541205,7.992671295946061,,-20.8730913921034,4.0,30.0,2025-09,-624.151074350547
C_CapSchedule,,557.2482532227002,-106.32563674998246,-7.604413806541205,7.992671295946061,,-19.08047914642636,4.0,30.0,2025-12,-663.5738899726827
C_CapSchedule,,639.6150964757003,42.14283240567862,-7.604413806541205,7.992671295946061,,6.588780133221836,4.0,35.0,2025-06,-597.4722640700217
C_CapSchedule,,691.3689181456002,67.21784379505327,-7.604413806541205,7.992671295946061,,9.722427785059523,4.0,35.0,2025-09,-624.151074350547
C_CapSchedule,,747.2482532227002,83.67436325001754,-7.604413806541205,7.992671295946061,,11.19766595494206,4.0,35.0,2025-12,-663.5738899726827
