seed,trapped_us_b,elapsed_sec
0,115.28853874064546,5.458496958
1,121.14444528794459,5.615763749999999
2,95.26410553240547,5.52309275
3,91.66050792284784,5.4352949579999965
4,98.2416682006381,5.523560666000002
5,101.22129808959548,5.503156417000007
6,100.15587833775791,5.447653125000002
7,97.85578982899483,5.477451082999998
8,120.52192413966364,5.531168958000002
9,103.45256541907065,5.464701083000001
10,114.44478046716333,5.633459082999991
11,118.49546401169111,5.509629791999998
12,100.35913102885496,5.437459957999991
13,94.72641714879836,5.520478208
14,128.19271558353728,5.519050957999994
15,129.63985914428156,5.49344275
16,113.9326380582524,5.499070667000012
17,97.09960971199595,5.598490166999994
18,102.94953536932674,5.479345166999991
19,137.61034318504025,5.4609554160000044
20,97.04630239801799,5.482858291999989
21,134.80741608727274,5.474371916999999
22,160.8476142139089,5.478268416999995
23,104.17491748546746,5.571919084000001
24,127.50925655292306,5.441962665999995
25,161.44960893649855,5.533782959000007
26,58.88827282727215,5.463097624999989
27,121.71376265878075,5.492065540999988
28,55.5475554904532,5.443342666000007
29,111.45432880078218,5.530722333
30,131.21872805547366,6.513663667000003
31,151.6117195987615,5.4729630420000035
32,118.81302512236095,5.454439291999989
33,98.44608431139824,5.542887540999999
34,66.48972243296197,5.492984249999978
35,113.46336644522717,5.485206291999987
36,132.94156683817286,5.446666292000003
37,158.6205250870731,5.607618792000011
38,71.07138576624094,5.565473500000024
39,93.42178159779317,5.492433458000022
40,138.39500574552665,5.500434624999997
41,91.38314454701191,5.454057917
42,101.17436325001678,5.483100707999995
43,159.14454610416504,5.489403457999998
44,118.11964616731473,5.424453291999981
45,100.39624557781701,5.563963166999997
46,102.5802317810099,5.483674957999995
47,143.3902321257554,5.453531458999976
48,129.59499056938273,5.602664416999971
49,138.81090305803772,5.505830457999991
