Base_Pct,Search_Cap_bps,Sentiment_Cap_bps,Friction_Min_Pct,Friction_Mean_Pct,Friction_Max_Pct,Trapped_US_B,Trapped_DK_B,Gap_B,Vs_Empirical_B,Share_Explained_Pct,CPR_R2,CPR_RMSE,CPR_R2_Smooth,CPR_RMSE_Smooth
9.0,400.0,300.0,10.599761024617864,12.162905653971825,14.24461976229451,265.5025456990129,-663.405404897195,928.9079505962079,-499.2457075236873,34.71764003123478,-3.498291142959001,6.0100785245305905,-7.623221341136704,5.331112801437258
9.0,400.0,225.0,10.599761024617864,12.162905653971825,14.24461976229451,265.5025456990129,-663.405404897195,928.9079505962079,-499.2457075236873,34.71764003123478,-3.498291142959001,6.0100785245305905,-7.623221341136704,5.331112801437258
9.0,400.0,150.0,10.599761024617864,12.118801176359883,14.24461976229451,265.0095896642617,-663.9590814331123,928.968671097374,-499.73866355843853,34.65318012136589,-3.510825293407593,6.018446015964855,-7.653699021876735,5.3405255623120835
9.0,400.0,75.0,10.184761024617863,11.796636997255407,13.750000000000002,253.56417816181647,-676.7693531205788,930.3335312823953,-511.18407506088374,33.15655538842751,-3.729583631942302,6.1626545031686275,-8.160766165435906,5.494763489150396
9.0,300.0,300.0,10.491070768463398,11.626563568837076,13.253464821720884,249.86097015406807,-681.6046670930032,931.4656372470713,-514.8872830686321,32.67231655661026,-3.7306089945962864,6.163322491497209,-8.154868756509394,5.492994527709346
9.0,300.0,225.0,10.491070768463398,11.626563568837076,13.253464821720884,249.86097015406807,-681.6046670930032,931.4656372470713,-514.8872830686321,32.67231655661026,-3.7306089945962864,6.163322491497209,-8.154868756509394,5.492994527709346
9.0,300.0,150.0,10.491070768463398,11.582459091225134,13.253464821720884,249.10220136244834,-682.2673233585908,931.3695247210392,-515.6460518602519,32.5730984428817,-3.7513190807741346,6.1767989322008825,-8.205752676004357,5.50823875420721
9.0,300.0,75.0,10.0760707684634,11.260294912120656,12.75,234.49251019645456,-697.6227525905875,932.1152627870421,-530.2557430262457,30.662706218456528,-4.04199470010174,6.362936047982572,-8.879426418505075,5.706226029517109
9.0,200.0,300.0,10.231826380695836,11.090221483702328,12.262309881147255,228.46566926056533,-704.3420870473334,932.8077563078987,-536.2825839621348,29.87462453137954,-4.068388850457802,6.379568857298848,-8.927185233027965,5.720001830746479
9.0,200.0,225.0,10.231826380695836,11.090221483702328,12.262309881147255,228.46566926056533,-704.3420870473334,932.8077563078987,-536.2825839621348,29.87462453137954,-4.068388850457802,6.379568857298848,-8.927185233027965,5.720001830746479
9.0,200.0,150.0,10.231826380695836,11.046117006090386,12.262309881147255,227.49764269876445,-705.1165908172267,932.6142335159911,-537.2506105239357,29.74804345614053,-4.096720712923046,6.397374632359201,-8.995721280453667,5.73971295771814
8.0,400.0,300.0,9.599761024617864,11.162905653971825,13.244619762294512,225.76948342941148,-710.5191456710568,936.2886291004683,-538.9787697932887,29.52206591881757,-4.12285173283557,6.41375341880876,-9.072855604550337,5.761816317819833
8.0,400.0,225.0,9.599761024617864,11.162905653971825,13.244619762294512,225.76948342941148,-710.5191456710568,936.2886291004683,-538.9787697932887,29.52206591881757,-4.12285173283557,6.41375341880876,-9.072855604550337,5.761816317819833
8.0,400.0,150.0,9.599761024617864,11.118801176359883,13.244619762294512,224.86422973499916,-711.3124692059953,936.1766989409945,-539.884023487701,29.403693148353888,-4.149281406304061,6.430276962956351,-9.137802874345505,5.780361851496651
9.0,400.0,0.0,9.434761024617865,11.14536834053899,13.0,222.95869234264444,-711.837661530517,934.7963538731615,-541.7895608800558,29.154521295482745,-4.2489125878897305,6.492187229702857,-9.378709993459143,5.848638697840218
9.0,200.0,75.0,9.967380512308932,10.723952826985908,11.75,209.57783369069205,-721.7234637858747,931.3012974765668,-555.1704195320082,27.404813650442094,-4.457503554616592,6.6199297305304565,-9.836883416535544,5.97634011957392
8.0,400.0,75.0,9.184761024617865,10.796636997255408,12.75,207.57048592931363,-728.570926006854,936.1414119361677,-557.1777672933865,27.1423288715728,-4.517645493954749,6.6563057532977545,-9.99522516165249,6.019843053598993
9.0,100.0,225.0,9.82802753079582,10.553879398567585,11.482295820324753,201.3647233488831,-730.1353079739216,931.5000313228047,-563.3835298738171,26.330851035006447,-4.508923452566857,6.651042680871317,-9.9431109003006,6.00555993120662
9.0,100.0,300.0,9.82802753079582,10.553879398567585,11.482295820324753,201.3647233488831,-730.1353079739216,931.5000313228047,-563.3835298738171,26.330851035006447,-4.508923452566857,6.651042680871317,-9.9431109003006,6.00555993120662
8.0,300.0,225.0,9.491070768463398,10.626563568837074,12.253464821720884,200.81469383406346,-735.2359997644336,936.050693598497,-563.9335593886367,26.258928083564353,-4.53462009384723,6.666536689727336,-10.021694735905543,6.027084692420465
8.0,300.0,300.0,9.491070768463398,10.626563568837074,12.253464821720884,200.81469383406346,-735.2359997644336,936.050693598497,-563.9335593886367,26.258928083564353,-4.53462009384723,6.666536689727336,-10.021694735905543,6.027084692420465
9.0,100.0,150.0,9.82802753079582,10.509774920955644,11.271154940573629,200.18735869539626,-730.9710590441749,931.1584177395712,-564.560894527304,26.17689649525754,-4.54541884843894,6.673037155080657,-10.030710982152625,6.0295494027982395
8.0,300.0,150.0,9.491070768463398,10.582459091225134,12.253464821720884,199.64446918314422,-736.138488596622,935.7829577797662,-565.103784039556,26.105907184727666,-4.570738290276441,6.6882537836038995,-10.109455896255797,6.051032696337594
9.0,300.0,0.0,9.3260707684634,10.60902625540424,12.0,197.1421189827128,-736.5030408180407,933.6451598007535,-567.6061342399875,25.77869490409984,-4.686706967486796,6.757511459039495,-10.393057579820772,6.12778121820454
9.0,100.0,75.0,9.82802753079582,10.187610741851165,10.749999999999998,180.196850581886,-749.2893222840254,929.4861728659114,-584.5514026408142,23.56289796315643,-4.962952705330666,6.919696526819291,-11.006365632582167,6.290553893637617
8.0,300.0,75.0,9.0760707684634,10.26029491212066,11.75,179.4296072266382,-754.6206363801414,934.0502436067795,-585.3186459960621,23.4625716986616,-5.004314400017644,6.9436541014024025,-11.123254102557365,6.321100700297478
8.0,200.0,300.0,9.231826380695837,10.090221483702328,11.262309881147257,170.9889254733639,-763.0617122846962,934.0506377580601,-593.7593277493363,22.358851393619425,-5.0466515448736144,6.968091370718576,-11.20787409267397,6.343122895640224
