period,market_rate_pct,friction,total_balance,weighted_prepay_b,weighted_sched_b,weighted_settled_b,simulated_rolloff_b,hazard_cpr_pct
2022-06-30,5.462,0.09964591640649507,2162393263614.8347,12.772757534287345,4.92058895007856,12.772757534287345,-17.693346484365907,5.657236422147785
2022-07-31,5.4625,0.09686445458773374,2147017675652.1724,14.36470631480877,4.957079664373909,14.36470631480877,-19.32178597918268,6.343483031910721
2022-08-31,5.231111111111111,0.09443640145609229,2128696558444.2485,18.15442996458731,4.964701079800958,18.15442996458731,-23.11913104438827,8.040974587236487
2022-09-30,6.046666666666667,0.0941251929540973,2113206289680.6335,14.66730370859082,4.96686745634223,14.66730370859082,-19.63417116493305,6.523251955707926
2022-10-31,6.8525,0.09297458969734236,2100211844439.9443,11.517528300886779,4.953115687639772,11.517528300886779,-16.47064398852655,5.159953676290569
2022-11-30,6.8637500000000005,0.09463446031944225,2088474724939.3594,9.919740284163332,4.938825996906251,9.919740284163332,-14.858566281069582,4.477164636768473
2022-12-31,6.357777777777778,0.09471741975166133,2076567062342.7678,10.131456899261059,4.928779847859422,10.131456899261059,-15.06023674712048,4.602763335195957
2023-01-31,6.308750000000001,0.09367743226857606,2066072932089.4204,8.344473206190798,4.919876147132285,8.344473206190798,-13.264349353323084,3.815001456310431
2023-02-28,6.21125,0.09356372961565405,2054714335615.247,9.471573002109315,4.933697611528275,9.471573002109315,-14.405270613637589,4.337714446316217
2023-03-31,6.561999999999999,0.09641007784817755,2041889770567.5667,11.286158550231212,4.907371104070632,11.286158550231212,-16.193529654301845,5.220078882965932
2023-04-30,6.328749999999999,0.09554767944375844,2030272142597.4563,9.761018829209126,4.894232268906943,9.761018829209126,-14.655251098116068,4.547453891584887
2023-05-31,6.4255555555555555,0.09743870276914068,2019558853929.6902,8.616158363170815,4.8830766276651945,8.616158363170815,-13.499234990836008,4.0416091540440275
2023-06-30,6.714444444444443,0.09408713789289852,2008755607115.9531,8.710477025569116,4.866810513226263,8.710477025569116,-13.57728753879538,4.118204932388601
2023-07-31,6.827500000000001,0.08966379331003417,1999146555464.4138,7.193544486808359,4.849411052978469,7.193544486808359,-12.04295553978683,3.428818702628232
2023-08-31,7.034999999999999,0.09018061477779023,1989088285734.8684,7.737125291735608,4.835393921711096,7.737125291735608,-12.572519213446704,3.715499545827806
2023-09-30,7.18375,0.09020972159047644,1979292138657.8542,7.392188176278358,4.82032183693274,7.392188176278358,-12.212510013211098,3.5772604761711695
2023-10-31,7.5600000000000005,0.09136943505219332,1970281928249.7224,6.402163117768626,4.809577611270422,6.402163117768626,-11.211740729039047,3.119320275317887
2023-11-30,7.5055555555555555,0.09220906200858736,1961988286330.2566,5.499974790382021,4.800496306376303,5.499974790382021,-10.300471096758324,2.6971292803161484
2023-12-31,6.89125,0.08898290246215315,1953521638601.6123,5.701486989638587,4.792441791933757,5.701486989638587,-10.493928781572343,2.8134963204074985
2024-01-31,6.638888888888888,0.08547871774203424,1945691420412.88,4.903048263611123,4.785535933364197,4.903048263611123,-9.68858419697532,2.43412420064462
