,MORTGAGE30US,Dynamic_Friction,Empirical_CPR_Pct,US_CPR_Pct,Danish_CPR_Pct,Extension_Delta_Billions,US_Missed_Rolloff_Billions,Danish_Missed_Rolloff_Billions,Actual_Monthly_Rolloff_Billions,QT_Target_Billions
2022-06-30,5.462,0.09964591640649507,0.0,15.055795267161306,36.25542088575305,19.487287718399784,-27.404024601523815,-43.46214997689439,1.9872877183997844,-17.5
2022-07-31,5.4625,0.09686445458773374,1.1075422831190824,15.376286187316268,37.02375901984067,25.591318853800658,-23.12088454115016,-67.80233131265294,8.091318853800658,-17.5
2022-08-31,5.231111111111111,0.09443640145609229,1.0876022005170622,21.715712981450967,47.53684026000756,9.454583468799683,-24.06429913390931,-68.11966105180784,-8.045416531200317,-17.5
2022-09-30,6.046666666666667,0.0941251929540973,2.429552491230723,12.323544791288787,38.1594146431147,23.947047029700116,-13.22974278082362,-59.28496708716439,-11.052952970299884,-35.0
2022-10-31,6.8525,0.09297458969734236,6.280444830380745,8.673806526084672,38.36097375297451,15.408688090199576,-3.9272457438833612,-51.170392433134126,-19.591311909800424,-35.0
2022-11-30,6.8637500000000005,0.09463446031944225,6.397199387002428,9.73241916289809,43.244142351499555,15.271343452600377,7.150342908270922,-43.741895106157216,-19.728656547399623,-35.0
2022-12-31,6.357777777777778,0.09471741975166133,5.354726619484906,13.039901846586165,46.2320019269251,17.671566635300223,7.444039435567106,-47.191943251554065,-17.328433364699777,-35.0
2023-01-31,6.30875,0.09367743226857606,5.076970309827889,13.462542214814292,46.72306484517333,18.365231404199676,1.9615658325951841,-50.418143260542195,-16.634768595800324,-35.0
2023-02-28,6.21125,0.09356372961565405,0.0,14.116100239456573,46.88102111839164,30.515236293300404,-1.9710335327833235,-50.03071840118854,-4.484763706699596,-35.0
2023-03-31,6.562,0.09641007784817755,9.357034786380328,11.666138015819406,45.37670413927727,9.256874014099594,-3.0056489267684015,-47.08827246377675,-25.743125985900406,-35.0
2023-04-30,6.328749999999999,0.09554767944375844,6.14133095293113,13.150378098220532,45.94629376125226,16.32168943070019,-0.3240701328215394,-42.41913591627727,-18.67831056929981,-35.0
