seed,trapped_us_b,elapsed_sec
0,105.02730713950929,9.936666165999998
1,111.67933467851574,8.815543667
2,85.45682979247964,9.421429874999998
3,82.58237984474016,9.025385583000002
4,89.2990556905945,8.732409458
5,91.44689701329541,8.848005582999996
6,90.51217791066405,8.636088875000006
7,89.26943535867707,10.222426999999996
8,109.9483072093776,10.220566250000005
9,93.49347355113751,8.975803958
10,104.71011874491981,8.875836542000002
11,108.31533756095814,8.73360975
12,90.5687612257943,8.952720833
13,84.90408393588402,8.673057958000015
14,117.37194915996105,11.545138374999993
15,119.33909739403367,11.545419667000004
16,104.33717656825866,14.536357457999998
17,87.71117844621115,14.681349624999996
18,93.37779582636708,21.89969508300001
19,127.47084765075694,11.79023083300001
20,87.27390166273204,14.425262916999998
21,124.25052572828479,18.982584332999977
22,150.78542797930797,19.15384475000002
23,94.80825290989144,17.801564874999997
24,117.46830115582425,16.50049558400002
25,150.7179737873937,18.82754250000005
26,49.88260308780791,17.22227429200001
27,112.04176087997097,18.574366499999996
28,46.5782172217979,17.536914582999998
29,101.80022642251231,12.853361833000008
30,121.26995048764338,15.211198083999989
31,141.47494794285902,12.198161166999967
32,108.73965431546276,12.268969875000039
33,88.58212419382816,16.96077916600001
34,57.20616265158293,12.269904750000023
35,103.30213939862846,21.441280750000033
36,121.89248464829483,13.274682040999949
37,148.46892560077376,13.342176292000033
38,61.65951506847605,13.744646332999935
39,82.89224993540205,12.115610624999931
40,128.5093585861233,12.341563208000025
41,81.88950987813342,13.041006958000025
42,90.98115583016177,15.618355500000007
43,149.19098011424015,13.024567374999947
44,108.0954625389644,14.250930749999952
45,90.76337512819435,16.18481887500002
46,93.2562292025703,12.951146374999894
47,134.10306083377196,12.346680708000008
48,119.9806407797347,11.428362292000088
49,129.22154003072862,11.14962054099999
